as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2025-09-16,hephaestus_10000,Hephaestus,10000.0,balanced,2fc9275c-82ad-46fe-9d08-a1e0814c802f,PRIO3.SA,sell,1003.5772566521035,historical_hephaestus_balanced
2025-09-22,hephaestus_10000,Hephaestus,10000.0,risk_on,5dc06325-f388-4ab2-952f-edf8b1e72a48,B3SA3.SA,sell,306.31903331335957,historical_hephaestus_risk_on
2025-09-22,hephaestus_10000,Hephaestus,10000.0,risk_on,ea92a005-c05d-45c8-a473-9c76bd396052,BTC-USD,buy,1500.5173418571476,historical_hephaestus_risk_on
2025-09-22,hephaestus_10000,Hephaestus,10000.0,risk_on,7524c6e7-4729-4875-b5aa-2e8cbf3ee735,ETH-USD,buy,796.249885748807,historical_hephaestus_risk_on
2025-09-22,hephaestus_10000,Hephaestus,10000.0,risk_on,e8f35ad9-4a69-419b-868f-e64807d63887,ITUB4.SA,sell,800.0913528967017,historical_hephaestus_risk_on
2025-09-22,hephaestus_10000,Hephaestus,10000.0,risk_on,fb0a7558-2bfa-477a-89f4-31f9768df07d,PRIO3.SA,buy,1003.0329981791497,historical_hephaestus_risk_on
2025-09-25,hephaestus_10000,Hephaestus,10000.0,risk_on,75d065cb-6a7d-49e5-9362-2e055ca98412,ETH-USD,buy,131.59175138481146,historical_hephaestus_risk_on
2025-09-25,hephaestus_10000,Hephaestus,10000.0,risk_on,3357c436-0e0e-4bc2-9a5f-3505cba17296,PETR4.SA,sell,107.75279036722668,historical_hephaestus_risk_on
2025-09-29,hephaestus_10000,Hephaestus,10000.0,risk_on,c707fc77-3bd5-4ccb-96c2-8511f2f5f644,ETH-USD,sell,127.15067683250845,historical_hephaestus_risk_on
2025-10-01,hephaestus_10000,Hephaestus,10000.0,risk_on,859f908c-a546-4fdc-ad13-c69f68c3f62c,BTC-USD,sell,131.9170951217584,historical_hephaestus_risk_on
2025-10-01,hephaestus_10000,Hephaestus,10000.0,risk_on,511c1c87-c4c6-4a1d-9636-1bb7a2213140,PETR4.SA,buy,157.2777263068474,historical_hephaestus_risk_on
2025-10-02,hephaestus_10000,Hephaestus,10000.0,risk_on,6e8cf5e7-b4cf-4bd1-8a0c-29796c544ca0,ETH-USD,sell,102.6635635823236,historical_hephaestus_risk_on
2025-10-06,hephaestus_10000,Hephaestus,10000.0,risk_on,720f7b5a-00fe-4097-bb4d-af2514b1c1b5,B3SA3.SA,buy,114.26559063082891,historical_hephaestus_risk_on
2025-10-06,hephaestus_10000,Hephaestus,10000.0,risk_on,8458830e-472a-4e08-b929-c3310955f4f1,BTC-USD,sell,141.1274525634817,historical_hephaestus_risk_on
2025-10-08,hephaestus_10000,Hephaestus,10000.0,risk_on,98f78c84-4fdb-4b60-bf77-db00949ff66c,ITUB4.SA,buy,107.84859276283964,historical_hephaestus_risk_on
2025-10-10,hephaestus_10000,Hephaestus,10000.0,risk_on,40fab35b-ec37-4727-8041-e6cb05211bc4,BTC-USD,buy,128.34710754777143,historical_hephaestus_risk_on
2025-10-10,hephaestus_10000,Hephaestus,10000.0,risk_on,33fd2ce1-55f8-43f7-9db9-9080c323b5b7,ETH-USD,buy,202.1613557944761,historical_hephaestus_risk_on
2025-10-13,hephaestus_10000,Hephaestus,10000.0,risk_on,cc22421f-8c5b-46b7-956e-affc9163d576,ETH-USD,sell,177.8870779371955,historical_hephaestus_risk_on
