date,as_of_date,scenario_id,alias,capital_brl,market_state,driver_regime,driver_confidence_score,driver_gross_exposure,recommended_mode,order_count,fill_count,selected_assets,target_weights_json,notes
2023-01-02,2023-01-02,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,1,1,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-03,2023-01-03,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-04,2023-01-04,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-05,2023-01-05,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-06,2023-01-06,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-09,2023-01-09,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-10,2023-01-10,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-11,2023-01-11,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-12,2023-01-12,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-13,2023-01-13,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-16,2023-01-16,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-17,2023-01-17,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-18,2023-01-18,hephaestus_200,Hephaestus,200.0,balanced,stable,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-19,2023-01-19,hephaestus_200,Hephaestus,200.0,balanced,transition,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: VALE3.SA
2023-01-20,2023-01-20,hephaestus_200,Hephaestus,200.0,balanced,transition,0.625,0.25,equilibrio,0,0,BTC-USD,"{""BTC-USD"": 0.4, ""CASH-BRL"": 0.3, ""PETR4.SA"": 0.3}",Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: VALE3.SA
