date,N_used,p1,deff,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,top5,cluster_count,largest_share,entropy,turnover_pair_frac,p1_shuffle,deff_shuffle,structure_score,p1_bootstrap,deff_bootstrap,structure_score_bootstrap,eigvec_overlap_1d,eigvec_instability_1d,insufficient_universe
2018-06-22,470,0.300782844937195,9.82908668731098,141.36793712048166,33.555969929914724,15.478613477693267,11.532122095901709,10.063892150187765,7.929424902789429,7.589898921157307,6.910011412936445,6.430229369098912,5.892485760448242,0.4510607122854875,171,0.2765957446808511,3.905473063984692,,,,,,,,,,False
2018-06-25,470,0.30211305234020985,9.741373770653716,141.99313459989867,34.101092207937086,15.246908855471169,11.780919618782715,9.886592827312612,7.800166507234135,7.572177554072637,6.985082580816366,6.322129714571704,5.8357311180969464,0.4532098895944727,168,0.26595744680851063,3.9141861358729804,,0.01902823952036511,95.26093013639748,85.80264117856362,0.019298984279625484,94.12203336025648,84.66347365766336,,,False
2018-06-26,470,0.30215606632321307,9.741153101438618,142.01335117191013,33.92389312343852,15.525825395194143,11.675962039767949,9.910681609187659,7.81680585649539,7.562179759546152,6.951065389272584,6.28384913917799,5.868040688422246,0.4532972624244647,171,0.26382978723404255,3.962064012629189,,,,,,,,,,False
2018-06-27,470,0.30373610173444043,9.658180404548329,142.75596781518698,33.66226031794724,15.807130370296719,11.464169941341368,9.960738457784995,7.789298201270339,7.571221767538042,6.884722987901563,6.258830262549775,5.8527158861696496,0.45457503596288795,170,0.2680851063829787,3.9397600119688776,,,,,,,,,,False
2018-06-28,470,0.30344062519425663,9.676891944712427,142.61709384130063,33.596842675591574,15.79517158461882,11.505602252269366,9.944029262290467,7.771552113339584,7.556088774851573,6.871350732243629,6.17575358842767,5.854203431890681,0.45416753109802305,172,0.26595744680851063,3.9589225475983723,,,,,,,,,,False
2018-06-29,470,0.30274631674472857,9.714464598008252,142.29076887002242,33.62606135423863,15.776685119584101,11.537362136016888,9.96262240425996,7.80910848096978,7.547344360726216,6.8990928456800695,6.21660133552748,5.8590470945979405,0.4536031912428128,171,0.2553191489361702,3.97987468243549,0.024379621648595928,,,,,,,,,False
2018-07-02,470,0.30332731650254224,9.689895550830254,142.56383875619485,33.244986755567425,15.82264618580255,11.493751239973193,10.088276159980229,7.827189617026352,7.608107600801318,6.914345657402011,6.327513874582959,5.908506826253934,0.4536457427606771,173,0.2702127659574468,3.948349083312016,0.011414054348319195,0.01785288624367966,95.18204556162772,85.77762444105632,0.019443983350179248,93.94177085003943,84.53575863236154,0.9996723886741581,0.00032761132584191444,False
2018-07-03,470,0.3035222502942077,9.682964594304428,142.65545763827757,32.932130631575646,16.047029879199982,11.603341189806184,10.140039444611912,7.861047536487356,7.611267934782786,6.91107788204387,6.322293092249955,5.9030437455538385,0.4539957420924922,174,0.28085106382978725,3.898082195904908,0.01778342330898698,,,,,,,,,False
2018-07-05,470,0.3042116675276816,9.650676353651484,142.97948373801037,32.76024245278941,15.804961911036102,11.566962323551213,10.244376873977522,7.864760797352034,7.66560921058331,6.929926196664745,6.295613496938548,5.877151150985883,0.4539489942539672,171,0.26382978723404255,3.947104049312615,0.008401760195980584,,,,,,,,,False
2018-07-06,470,0.3059255316596636,9.563399048223909,143.78499988004188,32.418942332049994,15.821849230881963,11.57348492343371,10.252109046404637,7.955187365211444,7.67285518644816,6.927200606906791,6.307471624013839,5.8843846034866765,0.45500294768683447,170,0.274468085106383,3.9112617926549658,0.008347321145034704,,,,,,,,,False
