date,regime,regime_raw,risk_score,signal_confidence,alert_level_raw,alert_level,transition_score,dp1_5,ddeff_5
2018-06-22,stable,stable,0.6494013534617388,0.45,green,green,0.0,,
2018-06-25,stable,stable,0.6514315460697553,0.45,green,green,0.0,,
2018-06-26,stable,stable,0.6518219677251431,0.45,green,green,0.0,,
2018-06-27,stable,stable,0.6550234252993232,0.45,green,green,0.0,,
2018-06-28,stable,stable,0.6540083289953149,0.45,green,green,0.0,,
2018-06-29,stable,stable,0.6523685580426861,0.6992434332212868,green,green,0.0,0.00196347180753359,-0.11462208930272766
2018-07-02,stable,stable,0.6531494013534618,0.7225522094144241,green,green,0.0,0.0012142641623323902,-0.05147821982346201
2018-07-03,stable,stable,0.6540864133263925,0.7190633674501259,green,green,0.0,0.0013661839709946388,-0.058188507134190104
2018-07-05,stable,stable,0.655413846954711,0.7418206998326772,green,green,0.0,0.00047556579324115056,-0.007504050896844916
2018-07-06,stable,stable,0.6588495575221239,0.6921755663310357,green,green,0.0,0.002484906465406944,-0.11349289648851801
2018-07-09,stable,stable,0.657756376887038,0.6786781568442546,green,green,0.0,0.0027051419120497355,-0.16477669717117926
2018-07-10,stable,stable,0.6571317022384175,0.6968219687091012,green,green,0.0,0.0018995168294396736,-0.13095202281366625
2018-07-11,stable,stable,0.658459135866736,0.6927506129618344,green,green,0.0,0.001997727769877111,-0.1442314512122227
2018-07-12,stable,stable,0.6576782925559604,0.7133642969855909,green,green,0.0,0.001101550101934079,-0.10448513969941686
2018-07-13,stable,stable,0.6561166059344091,0.7299553731211352,green,green,0.0,-0.0012547550921255257,0.012235857773086778
2018-07-16,stable,stable,0.659005726184279,0.7439742640847434,green,green,0.0,0.00010172640865474536,-0.022660312190870613
2018-07-17,stable,stable,0.6620510150963039,0.7019194294821113,green,green,0.0,0.0017966332412882036,-0.11294215934235474
2018-07-18,stable,stable,0.6633784487246226,0.6930849499402987,green,green,0.0,0.002121810368783339,-0.13403506049777114
2018-07-19,stable,stable,0.6614263404476834,0.7145524869395476,green,green,0.0,0.001184287868603917,-0.09293343099687768
2018-07-20,stable,stable,0.659552316501822,0.7222825662125236,green,green,0.0,0.0009258356093785336,-0.07268064980711664
2018-07-23,stable,stable,0.6571317022384175,0.7359243819218303,green,green,0.0,-0.0007823476749124758,0.015397371623729228
2018-07-24,stable,stable,0.6599427381572098,0.7192184727450107,green,green,0.0,-0.0014073801989717416,0.0545860803620446
2018-07-25,stable,stable,0.6624414367516919,0.7344046854986747,green,green,0.0,-0.0005594290474785768,0.03824081657259981
2018-07-26,stable,stable,0.6458094742321707,0.5405639328630024,green,green,0.0,-0.008224001101922895,0.46454598361399846
2018-07-27,stable,stable,0.5758459135866736,0.15000000000000002,green,green,0.0,-0.03361345578422725,2.034403960747449
2018-07-30,stable,stable,0.5709266007287871,0.15000000000000002,green,green,0.0,-0.03434409571842695,2.104637260274444
2018-07-31,stable,stable,0.5718636127017178,0.15000000000000002,green,green,0.0,-0.03485450470269419,2.1232917355165473
2018-08-01,stable,stable,0.4597345132743363,0.15000000000000002,green,green,0.0,-0.061207224922070064,4.056629394518309
2018-08-02,stable,stable,0.45098906819364915,0.15000000000000002,green,green,0.0,-0.05548885951985058,3.8622056138082517
2018-08-03,stable,stable,0.43654346694429985,0.15000000000000002,green,green,0.0,-0.03196983329063566,2.4619047164753383
2018-08-06,stable,stable,0.4373243102550755,0.15000000000000002,green,green,0.0,-0.030220127202368524,2.3347150976189504
2018-08-07,stable,stable,0.42233211868818327,0.15000000000000002,green,green,0.0,-0.03301629729176789,2.6322033823990125
2018-08-08,stable,stable,0.40687142113482566,0.4105325483388068,green,green,0.0,-0.010194124277339678,0.9690490583362887
2018-08-09,stable,stable,0.40741801145236856,0.5135036125219528,green,green,0.0,-0.007017897391597111,0.6808965886613869
2018-08-10,stable,stable,0.40757418011452373,0.5948767793167999,green,green,0.0,-0.004112152517086021,0.4804513723444739
2018-08-13,stable,stable,0.4077303487766788,0.5877432928966766,green,green,0.0,-0.004171959396845337,0.51145465793733
2018-08-14,stable,stable,0.42311296199895887,0.7369845835479064,green,green,0.0,0.0004517019295049163,0.032960870837335676
2018-08-15,stable,stable,0.3989068193649141,0.6981391852211394,green,green,0.0,-0.0015456849974928022,0.14884769599694891
2018-08-16,stable,stable,0.4007808433107756,0.7052052940267317,green,green,0.0,-0.0013889247495374457,0.12485693316493496
2018-08-17,stable,stable,0.39086413326392505,0.6104571807863746,green,green,0.0,-0.0043330606477987865,0.3885133074234801
2018-08-20,stable,stable,0.38695991671004687,0.5777326852804663,green,green,0.0,-0.005554312756913676,0.46549184556723766
2018-08-21,stable,stable,0.3843050494534097,0.48197050320289453,green,green,0.0,-0.008626156303720184,0.7253414198782746
2018-08-22,stable,stable,0.37977615825091104,0.5798254418328004,green,green,0.0,-0.005493437422357111,0.4593821088814085
2018-08-23,stable,stable,0.3694690265486726,0.5121468408746095,green,green,0.0,-0.0074295400956986,0.6592121074230786
2018-08-24,stable,stable,0.37477876106194696,0.636443671709287,green,green,0.0,-0.003864141215318556,0.2928708904843802
2018-08-27,stable,stable,0.3818063508589276,0.7132648069776886,green,green,0.0,-0.00165642006291708,0.06674060283371652
2018-08-28,stable,stable,0.38383654346694435,0.7384439461721228,green,green,0.0,-0.0002948660044292395,-0.03658224130454002
2018-08-29,stable,stable,0.3633784487246226,0.6365036875838334,green,green,0.0,-0.0036764662543148086,0.30550749457293946
2018-08-30,stable,stable,0.3670484122852681,0.7329632992339844,green,green,0.0,-0.0008253820287157931,0.02701200595797637
2018-08-31,stable,stable,0.36603331598125977,0.6998885172558569,green,green,0.0,-0.001807849771441411,0.1221692205202487
2018-09-04,stable,stable,0.36330036439354507,0.6232499043508806,green,green,0.0,-0.003921178115195018,0.3539051141961469
2018-09-05,stable,stable,0.3591618948464341,0.5718502793847248,green,green,0.0,-0.005540076568555902,0.49543705096792223
2018-09-06,stable,stable,0.35549193128578865,0.6858333831112212,green,green,0.0,-0.0021377540762761993,0.16864223802076772
2018-09-07,stable,stable,0.3455752212389381,0.5351782481143669,green,green,0.0,-0.006586024223771053,0.6039324631454601
2018-09-10,stable,stable,0.3463560645497137,0.5444191184131328,green,green,0.0,-0.006189284970355591,0.5857696745827408
2018-09-11,stable,stable,0.34549713690786055,0.5660611873459123,green,green,0.0,-0.00518867414588825,0.548155897512185
2018-09-12,stable,stable,0.29263404476834987,0.20851648476509843,green,green,0.0,-0.017255649567821496,1.9054594537045482
2018-09-13,stable,stable,0.27038001041124415,0.15000000000000002,green,green,0.0,-0.025083486376938108,2.864380590530345
2018-09-14,stable,stable,0.23258719416970328,0.15000000000000002,green,green,0.0,-0.032945433467670815,3.972063658975264
2018-09-17,stable,stable,0.22391983342009372,0.15000000000000002,green,green,0.0,-0.03770011941405077,4.6889535367688495
2018-09-18,stable,stable,0.22470067673086935,0.15000000000000002,green,green,0.0,-0.03739391235304468,4.628544357338173
2018-09-19,stable,stable,0.22009370119729307,0.15000000000000002,green,green,0.0,-0.02896265361521183,3.6832651266826204
2018-09-20,stable,stable,0.20767829255596046,0.15000000000000002,green,green,0.0,-0.03318344973466622,4.577815133859303
2018-09-21,stable,stable,0.199167100468506,0.15000000000000002,green,green,0.0,-0.025585678182276833,3.7008536591681818
