case_regime,date,N_used,p1,deff,lambda1,lambda2,top5,exposure,horizon_days,future_days_used,bench_cum_return,strategy_cum_return,alpha_cum,bench_max_drawdown,strategy_max_drawdown,dd_improvement,honest_verdict
stress,2020-03-16,470.0,0.6029217077497244,2.7100106953208156,283.37320264237036,22.148854761822278,0.7253771114674853,0.1,20.0,20.0,0.18658560739012642,0.019318849945481054,-0.16726675744464536,-0.12153967562483481,-0.01226796335954028,0.10927171226529453,"trade-off: protegeu risco, mas sacrificou retorno."
transition,2025-04-09,470.0,0.3347185131822221,7.7985425397723045,157.31770119564442,46.620535201518805,0.5273890981802228,0.4,20.0,20.0,0.04148254854788358,0.020761385075783956,-0.020721163472099624,-0.027201460443637138,-0.010895914165543252,0.016305546278093885,"trade-off: protegeu risco, mas sacrificou retorno."
dispersion,2026-02-11,465.0,0.149434797588617,24.78540273536066,69.48718087870691,38.340494667397664,0.34759638817488936,0.9,20.0,1.0,-0.012948074484006922,-0.011653267035606207,0.0012948074484007144,0.0,0.0,0.0,sinal util: melhor retorno e menor drawdown.
