as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2023-01-02,hermes_10000,Hermes,10000.0,balanced,10000.0,9988.5,5388.5,3,3,"BTC-USD,ETH-USD,SOL-USD"
2023-01-03,hermes_10000,Hermes,10000.0,balanced,10137.693733478392,10137.350704849203,5525.368423047147,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-01-04,hermes_10000,Hermes,10000.0,balanced,10215.045350453649,10215.045350453649,5525.368423047147,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-05,hermes_10000,Hermes,10000.0,balanced,10205.853719294746,10205.853719294746,5525.368423047147,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-06,hermes_10000,Hermes,10000.0,balanced,10247.84321292589,10247.84321292589,5525.368423047147,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-09,hermes_10000,Hermes,10000.0,balanced,10506.52221025162,10506.159228632801,5670.198088955389,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-01-10,hermes_10000,Hermes,10000.0,balanced,10558.907975901959,10558.907975901959,5670.198088955389,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-11,hermes_10000,Hermes,10000.0,balanced,10701.539592130684,10701.279476127962,5773.9843740411925,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-01-12,hermes_10000,Hermes,10000.0,balanced,10871.819525105584,10871.560357977389,5877.392058191073,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-01-13,hermes_10000,Hermes,10000.0,balanced,11147.526082986915,11147.526082986915,5877.392058191073,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-16,hermes_10000,Hermes,10000.0,balanced,11730.575147903563,11729.577789319437,6275.338133256941,2,2,"BTC-USD,ETH-USD,SOL-USD"
2023-01-17,hermes_10000,Hermes,10000.0,balanced,11681.906308733254,11681.906308733254,6275.338133256941,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-18,hermes_10000,Hermes,10000.0,balanced,11480.367650605667,11480.367650605667,6275.338133256941,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-19,hermes_10000,Hermes,10000.0,balanced,11599.785261281086,11599.785261281086,6275.338133256941,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-20,hermes_10000,Hermes,10000.0,balanced,12091.241426224902,12090.965618740775,6385.385319423435,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-01-23,hermes_10000,Hermes,10000.0,balanced,12041.157232080164,12041.157232080164,6385.385319423435,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-24,hermes_10000,Hermes,10000.0,risk_on,11867.339962581922,11860.2770042553,3553.1390304479532,3,3,"BTC-USD,ETH-USD,SOL-USD"
2023-01-25,hermes_10000,Hermes,10000.0,risk_on,12166.997958297554,12166.997958297554,3553.1390304479532,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-26,hermes_10000,Hermes,10000.0,risk_on,12125.466652965206,12125.466652965206,3553.1390304479532,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-27,hermes_10000,Hermes,10000.0,risk_on,12140.009372808014,12140.009372808014,3553.1390304479532,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-30,hermes_10000,Hermes,10000.0,risk_on,12008.691542320701,12008.691542320701,3553.1390304479532,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-01-31,hermes_10000,Hermes,10000.0,risk_on,12087.839115912971,12087.839115912971,3553.1390304479532,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-01,hermes_10000,Hermes,10000.0,risk_on,12372.123873870933,12371.863179977732,3657.155893834951,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-02-02,hermes_10000,Hermes,10000.0,risk_on,12276.766897495309,12276.766897495309,3657.155893834951,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-03,hermes_10000,Hermes,10000.0,opportunistic,12327.013284326851,12323.853597464258,2390.1214619351103,2,2,"BTC-USD,ETH-USD,SOL-USD"
2023-02-06,hermes_10000,Hermes,10000.0,opportunistic,11905.195693377676,11904.899841602732,2271.484900183267,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-02-07,hermes_10000,Hermes,10000.0,opportunistic,12213.913289781773,12213.64779673365,2377.416626383784,1,1,"BTC-USD,SOL-USD,ETH-USD"
2023-02-08,hermes_10000,Hermes,10000.0,opportunistic,12062.10152174894,12062.10152174894,2377.416626383784,0,0,"BTC-USD,SOL-USD,ETH-USD"
2023-02-09,hermes_10000,Hermes,10000.0,opportunistic,11375.081136875215,11374.773525869892,2254.0646132494458,1,1,"BTC-USD,SOL-USD,ETH-USD"
2023-02-10,hermes_10000,Hermes,10000.0,opportunistic,11250.451842146116,11250.451842146116,2254.0646132494458,0,0,"BTC-USD,SOL-USD,ETH-USD"
2023-02-13,hermes_10000,Hermes,10000.0,opportunistic,11343.644156178314,11343.644156178314,2254.0646132494458,0,0,"BTC-USD,SOL-USD,ETH-USD"
2023-02-14,hermes_10000,Hermes,10000.0,balanced,11625.90043799329,11615.840633935124,6267.926432458211,3,3,"BTC-USD,ETH-USD,SOL-USD"
2023-02-15,hermes_10000,Hermes,10000.0,balanced,12093.56864953893,12093.181790142644,6422.283331575399,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-02-16,hermes_10000,Hermes,10000.0,balanced,11889.183857604305,11889.183857604305,6422.283331575399,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-17,hermes_10000,Hermes,10000.0,balanced,12111.690374367481,12111.690374367481,6422.283331575399,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-21,hermes_10000,Hermes,10000.0,opportunistic,12140.303657052464,12130.318100552053,2418.075174910081,3,3,"BTC-USD,ETH-USD,SOL-USD"
2023-02-22,hermes_10000,Hermes,10000.0,opportunistic,11972.689354732396,11972.689354732396,2418.075174910081,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-23,hermes_10000,Hermes,10000.0,opportunistic,11911.137709877097,11911.137709877097,2418.075174910081,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-24,hermes_10000,Hermes,10000.0,opportunistic,11617.057156766565,11617.057156766565,2418.075174910081,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-02-27,hermes_10000,Hermes,10000.0,opportunistic,11677.601941768287,11677.274391536834,2286.7275320971867,1,1,"BTC-USD,ETH-USD,SOL-USD"
2023-02-28,hermes_10000,Hermes,10000.0,balanced,11485.027328969652,11475.239360905787,6192.126789579747,3,3,"BTC-USD,ETH-USD,SOL-USD"
2023-03-01,hermes_10000,Hermes,10000.0,balanced,11619.40743252695,11619.40743252695,6192.126789579747,0,0,"BTC-USD,ETH-USD,SOL-USD"
2023-03-02,hermes_10000,Hermes,10000.0,balanced,11561.119526508544,11561.119526508544,6192.126789579747,0,0,"BTC-USD,ETH-USD,SOL-USD"
