date,as_of_date,scenario_id,alias,capital_brl,market_state,driver_regime,driver_confidence_score,driver_gross_exposure,recommended_mode,order_count,fill_count,selected_assets,target_weights_json,notes
2025-01-02,2025-01-02,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-03,2025-01-03,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-06,2025-01-06,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-07,2025-01-07,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-08,2025-01-08,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-09,2025-01-09,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-10,2025-01-10,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-13,2025-01-13,zeus_200,Zeus,200.0,risk_on,stable,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.3, ""CASH-BRL"": 0.52, ""PETR4.SA"": 0.18}","Confiança e postura permitem risk-on. | Tickers sem preço válido caíram para caixa: QQQ,SPY,VALE3.SA"
2025-01-14,2025-01-14,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-15,2025-01-15,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-16,2025-01-16,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-17,2025-01-17,zeus_200,Zeus,200.0,balanced,transition,0.95,0.9375,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-20,2025-01-20,zeus_200,Zeus,200.0,balanced,transition,0.95,0.9375,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-21,2025-01-21,zeus_200,Zeus,200.0,balanced,transition,0.95,0.915,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-22,2025-01-22,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-23,2025-01-23,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-24,2025-01-24,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-27,2025-01-27,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-28,2025-01-28,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-29,2025-01-29,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-30,2025-01-30,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-01-31,2025-01-31,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-03,2025-02-03,zeus_200,Zeus,200.0,balanced,transition,0.95,0.97,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-04,2025-02-04,zeus_200,Zeus,200.0,balanced,transition,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-05,2025-02-05,zeus_200,Zeus,200.0,balanced,transition,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-06,2025-02-06,zeus_200,Zeus,200.0,balanced,transition,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-07,2025-02-07,zeus_200,Zeus,200.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2025-02-10,2025-02-10,zeus_200,Zeus,200.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2025-02-11,2025-02-11,zeus_200,Zeus,200.0,defense,stress,0.95,1.0,proteção,0,0,,"{""CASH-BRL"": 1.0}","Mercado em proteção, vigilância ruim ou stress estrutural. | Tickers sem preço válido caíram para caixa: SHY"
2025-02-12,2025-02-12,zeus_200,Zeus,200.0,balanced,transition,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-13,2025-02-13,zeus_200,Zeus,200.0,balanced,transition,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-14,2025-02-14,zeus_200,Zeus,200.0,balanced,transition,0.95,1.0,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-17,2025-02-17,zeus_200,Zeus,200.0,balanced,transition,0.8890625,0.778125,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-18,2025-02-18,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-19,2025-02-19,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-20,2025-02-20,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-21,2025-02-21,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-24,2025-02-24,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
2025-02-25,2025-02-25,zeus_200,Zeus,200.0,balanced,transition,0.8778125,0.755625,ataque,0,0,,"{""BTC-USD"": 0.21241379310344827, ""CASH-BRL"": 0.56, ""PETR4.SA"": 0.22758620689655168}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: SPY,VALE3.SA,SHY"
