asset_id,ticker,sector_gics,sector_internal,liquidity_proxy
HYG,HYG,bonds_credit,bonds_credit,2553
LQD,LQD,bonds_credit,bonds_credit,2553
IEF,IEF,bonds_rates,bonds_rates,2553
SHY,SHY,bonds_rates,bonds_rates,2553
TIP,TIP,bonds_rates,bonds_rates,2553
TLT,TLT,bonds_rates,bonds_rates,2553
DBA,DBA,commodities,commodities,2553
DBC,DBC,commodities,commodities,2553
GLD,GLD,commodities,commodities,2553
SLV,SLV,commodities,commodities,2553
ACTG,ACTG,consumer_discretionary,consumer_discretionary,2522
AIOT,AIOT,consumer_discretionary,consumer_discretionary,2522
AMPG,AMPG,consumer_discretionary,consumer_discretionary,2522
AMZN,AMZN,consumer_discretionary,consumer_discretionary,2522
APPS,APPS,consumer_discretionary,consumer_discretionary,2522
ARES,ARES,consumer_discretionary,consumer_discretionary,2522
AXON,AXON,consumer_discretionary,consumer_discretionary,2522
BKNG,BKNG,consumer_discretionary,consumer_discretionary,2522
BWEN,BWEN,consumer_discretionary,consumer_discretionary,2522
BX,BX,consumer_discretionary,consumer_discretionary,2522
CABO,CABO,consumer_discretionary,consumer_discretionary,2522
CELH,CELH,consumer_discretionary,consumer_discretionary,2522
CHTR,CHTR,consumer_discretionary,consumer_discretionary,2522
CMG,CMG,consumer_discretionary,consumer_discretionary,2522
CPRT,CPRT,consumer_discretionary,consumer_discretionary,2522
CTLP,CTLP,consumer_discretionary,consumer_discretionary,2522
CXDO,CXDO,consumer_discretionary,consumer_discretionary,2522
DHI,DHI,consumer_discretionary,consumer_discretionary,2522
EBAY,EBAY,consumer_discretionary,consumer_discretionary,2522
EL,EL,consumer_discretionary,consumer_discretionary,2522
EXAS,EXAS,consumer_discretionary,consumer_discretionary,2522
EXTR,EXTR,consumer_discretionary,consumer_discretionary,2522
FRPT,FRPT,consumer_discretionary,consumer_discretionary,2522
HD,HD,consumer_discretionary,consumer_discretionary,2522
ILMN,ILMN,consumer_discretionary,consumer_discretionary,2522
INSG,INSG,consumer_discretionary,consumer_discretionary,2522
INSM,INSM,consumer_discretionary,consumer_discretionary,2522
IRDM,IRDM,consumer_discretionary,consumer_discretionary,2522
JYNT,JYNT,consumer_discretionary,consumer_discretionary,2522
KKR,KKR,consumer_discretionary,consumer_discretionary,2522
LBRDA,LBRDA,consumer_discretionary,consumer_discretionary,2522
LBRDK,LBRDK,consumer_discretionary,consumer_discretionary,2522
LOW,LOW,consumer_discretionary,consumer_discretionary,2522
LTRX,LTRX,consumer_discretionary,consumer_discretionary,2522
NKE,NKE,consumer_discretionary,consumer_discretionary,2522
NTRA,NTRA,consumer_discretionary,consumer_discretionary,2522
PAR,PAR,consumer_discretionary,consumer_discretionary,2522
PLUG,PLUG,consumer_discretionary,consumer_discretionary,2522
REFR,REFR,consumer_discretionary,consumer_discretionary,2522
RUN,RUN,consumer_discretionary,consumer_discretionary,2522
SAM,SAM,consumer_discretionary,consumer_discretionary,2522
SBUX,SBUX,consumer_discretionary,consumer_discretionary,2522
TBCH,TBCH,consumer_discretionary,consumer_discretionary,2522
TGT,TGT,consumer_discretionary,consumer_discretionary,2522
TREX,TREX,consumer_discretionary,consumer_discretionary,2522
TSLA,TSLA,consumer_discretionary,consumer_discretionary,2522
WBD,WBD,consumer_discretionary,consumer_discretionary,2522
CAG,CAG,consumer_staples,consumer_staples,2522
CALM,CALM,consumer_staples,consumer_staples,2522
CL,CL,consumer_staples,consumer_staples,2522
COKE,COKE,consumer_staples,consumer_staples,2522
COST,COST,consumer_staples,consumer_staples,2522
CPB,CPB,consumer_staples,consumer_staples,2522
DG,DG,consumer_staples,consumer_staples,2522
FIZZ,FIZZ,consumer_staples,consumer_staples,2522
FLO,FLO,consumer_staples,consumer_staples,2522
GIS,GIS,consumer_staples,consumer_staples,2522
HRL,HRL,consumer_staples,consumer_staples,2522
HSY,HSY,consumer_staples,consumer_staples,2522
IMKTA,IMKTA,consumer_staples,consumer_staples,2522
KHC,KHC,consumer_staples,consumer_staples,2522
KMB,KMB,consumer_staples,consumer_staples,2522
KO,KO,consumer_staples,consumer_staples,2522
KR,KR,consumer_staples,consumer_staples,2522
MDLZ,MDLZ,consumer_staples,consumer_staples,2522
MKC,MKC,consumer_staples,consumer_staples,2522
MNST,MNST,consumer_staples,consumer_staples,2522
MO,MO,consumer_staples,consumer_staples,2522
MZTI,MZTI,consumer_staples,consumer_staples,2522
PEP,PEP,consumer_staples,consumer_staples,2522
PG,PG,consumer_staples,consumer_staples,2522
PM,PM,consumer_staples,consumer_staples,2522
POST,POST,consumer_staples,consumer_staples,2522
RSG,RSG,consumer_staples,consumer_staples,2522
SFM,SFM,consumer_staples,consumer_staples,2522
SJM,SJM,consumer_staples,consumer_staples,2522
STZ,STZ,consumer_staples,consumer_staples,2522
TR,TR,consumer_staples,consumer_staples,2522
VZ,VZ,consumer_staples,consumer_staples,2522
BTC-USD,BTC-USD,crypto,crypto,3713
ETH-USD,ETH-USD,crypto,crypto,3035
APA,APA,energy,energy,2522
AR,AR,energy,energy,2522
ARLP,ARLP,energy,energy,2522
BSM,BSM,energy,energy,2522
CHRD,CHRD,energy,energy,2522
CLMT,CLMT,energy,energy,2522
CNX,CNX,energy,energy,2522
COP,COP,energy,energy,2522
CQP,CQP,energy,energy,2522
CRK,CRK,energy,energy,2522
CTRA,CTRA,energy,energy,2522
CVI,CVI,energy,energy,2522
CVX,CVX,energy,energy,2522
DINO,DINO,energy,energy,2522
DVN,DVN,energy,energy,2522
EOG,EOG,energy,energy,2522
EPD,EPD,energy,energy,2522
EQT,EQT,energy,energy,2522
ET,ET,energy,energy,2522
FANG,FANG,energy,energy,2522
HAL,HAL,energy,energy,2522
HP,HP,energy,energy,2522
KMI,KMI,energy,energy,2522
LNG,LNG,energy,energy,2522
LXU,LXU,energy,energy,2522
MPC,MPC,energy,energy,2522
MPLX,MPLX,energy,energy,2522
MTDR,MTDR,energy,energy,2522
MUR,MUR,energy,energy,2522
OII,OII,energy,energy,2522
OKE,OKE,energy,energy,2522
OXY,OXY,energy,energy,2522
PAA,PAA,energy,energy,2522
PBF,PBF,energy,energy,2522
PSX,PSX,energy,energy,2522
PTEN,PTEN,energy,energy,2522
RRC,RRC,energy,energy,2522
SM,SM,energy,energy,2522
SUN,SUN,energy,energy,2522
TPL,TPL,energy,energy,2522
TRGP,TRGP,energy,energy,2522
USO,USO,energy,energy,2553
VLO,VLO,energy,energy,2522
VNOM,VNOM,energy,energy,2522
WES,WES,energy,energy,2522
XLE,XLE,energy,energy,2553
ABEV3.SA,ABEV3.SA,equities_br_bluechips,equities_br_bluechips,2530
B3SA3.SA,B3SA3.SA,equities_br_bluechips,equities_br_bluechips,2530
BBAS3.SA,BBAS3.SA,equities_br_bluechips,equities_br_bluechips,2530
BBDC4.SA,BBDC4.SA,equities_br_bluechips,equities_br_bluechips,2530
BPAC11.SA,BPAC11.SA,equities_br_bluechips,equities_br_bluechips,2243
BRKM5.SA,BRKM5.SA,equities_br_bluechips,equities_br_bluechips,2530
CMIG4.SA,CMIG4.SA,equities_br_bluechips,equities_br_bluechips,2530
CSAN3.SA,CSAN3.SA,equities_br_bluechips,equities_br_bluechips,2530
CSNA3.SA,CSNA3.SA,equities_br_bluechips,equities_br_bluechips,2530
CYRE3.SA,CYRE3.SA,equities_br_bluechips,equities_br_bluechips,2530
ENEV3.SA,ENEV3.SA,equities_br_bluechips,equities_br_bluechips,2530
EQTL3.SA,EQTL3.SA,equities_br_bluechips,equities_br_bluechips,2530
FLRY3.SA,FLRY3.SA,equities_br_bluechips,equities_br_bluechips,2530
GGBR4.SA,GGBR4.SA,equities_br_bluechips,equities_br_bluechips,2530
GOAU4.SA,GOAU4.SA,equities_br_bluechips,equities_br_bluechips,2530
HAPV3.SA,HAPV3.SA,equities_br_bluechips,equities_br_bluechips,1948
IGTI11.SA,IGTI11.SA,equities_br_bluechips,equities_br_bluechips,1066
ITUB4.SA,ITUB4.SA,equities_br_bluechips,equities_br_bluechips,2530
KLBN11.SA,KLBN11.SA,equities_br_bluechips,equities_br_bluechips,2530
LREN3.SA,LREN3.SA,equities_br_bluechips,equities_br_bluechips,2530
MRVE3.SA,MRVE3.SA,equities_br_bluechips,equities_br_bluechips,2530
MULT3.SA,MULT3.SA,equities_br_bluechips,equities_br_bluechips,2530
PCAR3.SA,PCAR3.SA,equities_br_bluechips,equities_br_bluechips,2530
PETR4.SA,PETR4.SA,equities_br_bluechips,equities_br_bluechips,2530
PRIO3.SA,PRIO3.SA,equities_br_bluechips,equities_br_bluechips,2530
RADL3.SA,RADL3.SA,equities_br_bluechips,equities_br_bluechips,2530
RAIL3.SA,RAIL3.SA,equities_br_bluechips,equities_br_bluechips,2530
RENT3.SA,RENT3.SA,equities_br_bluechips,equities_br_bluechips,2530
SUZB3.SA,SUZB3.SA,equities_br_bluechips,equities_br_bluechips,2530
TIMS3.SA,TIMS3.SA,equities_br_bluechips,equities_br_bluechips,2530
UGPA3.SA,UGPA3.SA,equities_br_bluechips,equities_br_bluechips,2530
VALE3.SA,VALE3.SA,equities_br_bluechips,equities_br_bluechips,2530
VIVT3.SA,VIVT3.SA,equities_br_bluechips,equities_br_bluechips,2530
WEGE3.SA,WEGE3.SA,equities_br_bluechips,equities_br_bluechips,2530
EEM,EEM,equities_ex_us,equities_ex_us,2553
EFA,EFA,equities_ex_us,equities_ex_us,2553
EWJ,EWJ,equities_ex_us,equities_ex_us,2553
EWZ,EWZ,equities_ex_us,equities_ex_us,2553
DIA,DIA,equities_us_broad,equities_us_broad,2553
IWM,IWM,equities_us_broad,equities_us_broad,2553
QQQ,QQQ,equities_us_broad,equities_us_broad,2553
RSP,RSP,equities_us_broad,equities_us_broad,2553
SPY,SPY,equities_us_broad,equities_us_broad,2553
VT,VT,equities_us_broad,equities_us_broad,2553
VTI,VTI,equities_us_broad,equities_us_broad,2553
CCZ,CCZ,equities_us_other,equities_us_other,2522
CTGO,CTGO,equities_us_other,equities_us_other,2522
INTZ,INTZ,equities_us_other,equities_us_other,2522
NB,NB,equities_us_other,equities_us_other,2522
NTIP,NTIP,equities_us_other,equities_us_other,2522
AD,AD,financials,financials,2522
AFL,AFL,financials,financials,2522
AIG,AIG,financials,financials,2522
AJG,AJG,financials,financials,2522
ALL,ALL,financials,financials,2522
AMCX,AMCX,financials,financials,2522
AMP,AMP,financials,financials,2522
AON,AON,financials,financials,2522
ATEX,ATEX,financials,financials,2522
ATNI,ATNI,financials,financials,2522
AXP,AXP,financials,financials,2522
BAC,BAC,financials,financials,2522
BK,BK,financials,financials,2522
BLK,BLK,financials,financials,2522
C,C,financials,financials,2522
CCL,CCL,financials,financials,2522
CFG,CFG,financials,financials,2522
CMCSA,CMCSA,financials,financials,2522
CME,CME,financials,financials,2522
COF,COF,financials,financials,2522
CUK,CUK,financials,financials,2522
FIS,FIS,financials,financials,2522
FISV,FISV,financials,financials,2522
FITB,FITB,financials,financials,2522
GM,GM,financials,financials,2522
GPN,GPN,financials,financials,2522
GS,GS,financials,financials,2522
HBAN,HBAN,financials,financials,2522
HIG,HIG,financials,financials,2522
HST,HST,financials,financials,2522
IBKR,IBKR,financials,financials,2522
IDT,IDT,financials,financials,2522
JJSF,JJSF,financials,financials,2522
JPM,JPM,financials,financials,2522
LPLA,LPLA,financials,financials,2522
MET,MET,financials,financials,2522
MKL,MKL,financials,financials,2522
MS,MS,financials,financials,2522
MTB,MTB,financials,financials,2522
PGR,PGR,financials,financials,2522
PNC,PNC,financials,financials,2522
PPC,PPC,financials,financials,2522
PRMB,PRMB,financials,financials,2522
PRU,PRU,financials,financials,2522
RJF,RJF,financials,financials,2522
SCHW,SCHW,financials,financials,2522
SHEN,SHEN,financials,financials,2522
SPOK,SPOK,financials,financials,2522
STT,STT,financials,financials,2522
T,T,financials,financials,2522
TDS,TDS,financials,financials,2522
TFC,TFC,financials,financials,2522
TRV,TRV,financials,financials,2522
TSN,TSN,financials,financials,2522
USB,USB,financials,financials,2522
FXE,FXE,fx,fx,2553
FXY,FXY,fx,fx,2553
UUP,UUP,fx,fx,2553
A,A,health_care,health_care,2522
ABBV,ABBV,health_care,health_care,2522
ABT,ABT,health_care,health_care,2522
ALNY,ALNY,health_care,health_care,2522
AMGN,AMGN,health_care,health_care,2522
BDX,BDX,health_care,health_care,2522
BIIB,BIIB,health_care,health_care,2522
BMY,BMY,health_care,health_care,2522
BR,BR,health_care,health_care,2522
BSX,BSX,health_care,health_care,2522
CAH,CAH,health_care,health_care,2522
CI,CI,health_care,health_care,2522
CNC,CNC,health_care,health_care,2522
COR,COR,health_care,health_care,2522
CVS,CVS,health_care,health_care,2522
DGX,DGX,health_care,health_care,2522
DHR,DHR,health_care,health_care,2522
ELV,ELV,health_care,health_care,2522
EW,EW,health_care,health_care,2522
GILD,GILD,health_care,health_care,2522
HUM,HUM,health_care,health_care,2522
ICE,ICE,health_care,health_care,2522
INCY,INCY,health_care,health_care,2522
IQV,IQV,health_care,health_care,2522
JNJ,JNJ,health_care,health_care,2522
LH,LH,health_care,health_care,2522
LLY,LLY,health_care,health_care,2522
MCK,MCK,health_care,health_care,2522
MDT,MDT,health_care,health_care,2522
MRK,MRK,health_care,health_care,2522
MRSH,MRSH,health_care,health_care,2522
NDAQ,NDAQ,health_care,health_care,2522
PFE,PFE,health_care,health_care,2522
REGN,REGN,health_care,health_care,2522
RMD,RMD,health_care,health_care,2522
STE,STE,health_care,health_care,2522
SYK,SYK,health_care,health_care,2522
TMO,TMO,health_care,health_care,2522
TMUS,TMUS,health_care,health_care,2522
UNH,UNH,health_care,health_care,2522
UTHR,UTHR,health_care,health_care,2522
VRTX,VRTX,health_care,health_care,2522
ADP,ADP,industrials,industrials,2522
AME,AME,industrials,industrials,2522
AMWD,AMWD,industrials,industrials,2522
APH,APH,industrials,industrials,2522
APO,APO,industrials,industrials,2522
AZO,AZO,industrials,industrials,2522
BA,BA,industrials,industrials,2522
CAT,CAT,industrials,industrials,2522
CBRE,CBRE,industrials,industrials,2522
CMI,CMI,industrials,industrials,2522
CPAY,CPAY,industrials,industrials,2522
CSX,CSX,industrials,industrials,2522
CTAS,CTAS,industrials,industrials,2522
DAL,DAL,industrials,industrials,2522
DE,DE,industrials,industrials,2522
DGII,DGII,industrials,industrials,2522
DIS,DIS,industrials,industrials,2522
DOV,DOV,industrials,industrials,2522
EME,EME,industrials,industrials,2522
EMR,EMR,industrials,industrials,2522
ENR,ENR,industrials,industrials,2522
ESE,ESE,industrials,industrials,2522
F,F,industrials,industrials,2522
FAST,FAST,industrials,industrials,2522
FBIN,FBIN,industrials,industrials,2522
FDX,FDX,industrials,industrials,2522
FIX,FIX,industrials,industrials,2522
FTAI,FTAI,industrials,industrials,2522
