asset_id,ticker,sector_gics,sector_internal,liquidity_proxy
BTC-USD,BTC-USD,crypto,crypto,5000
ETH-USD,ETH-USD,crypto,crypto,4990
BNB-USD,BNB-USD,crypto,crypto,4980
XRP-USD,XRP-USD,crypto,crypto,4970
SOL-USD,SOL-USD,crypto,crypto,4960
TRX-USD,TRX-USD,crypto,crypto,4950
DOGE-USD,DOGE-USD,crypto,crypto,4940
ADA-USD,ADA-USD,crypto,crypto,4930
BCH-USD,BCH-USD,crypto,crypto,4920
LINK-USD,LINK-USD,crypto,crypto,4910
XLM-USD,XLM-USD,crypto,crypto,4900
LTC-USD,LTC-USD,crypto,crypto,4890
AVAX-USD,AVAX-USD,crypto,crypto,4880
HBAR-USD,HBAR-USD,crypto,crypto,4870
SUI-USD,SUI-USD,crypto,crypto,4860
DOT-USD,DOT-USD,crypto,crypto,4850
NEAR-USD,NEAR-USD,crypto,crypto,4840
AAVE-USD,AAVE-USD,crypto,crypto,4830
ICP-USD,ICP-USD,crypto,crypto,4820
TON-USD,TON-USD,crypto,crypto,4810
UNI-USD,UNI-USD,crypto,crypto,4800
XMR-USD,XMR-USD,crypto,crypto,4790
MATIC-USD,MATIC-USD,crypto,crypto,4780
ATOM-USD,ATOM-USD,crypto,crypto,4770
FIL-USD,FIL-USD,crypto,crypto,4760
SHIB-USD,SHIB-USD,crypto,crypto,4750
TAO-USD,TAO-USD,crypto,crypto,4730
ETC-USD,ETC-USD,crypto,crypto,4720
ALGO-USD,ALGO-USD,crypto,crypto,4710
PEPE-USD,PEPE-USD,crypto,crypto,4700
ONDO-USD,ONDO-USD,crypto,crypto,4690
APT-USD,APT-USD,crypto,crypto,4680
OP-USD,OP-USD,crypto,crypto,4670
ARB-USD,ARB-USD,crypto,crypto,4660
INJ-USD,INJ-USD,crypto,crypto,4650
IMX-USD,IMX-USD,crypto,crypto,4640
RUNE-USD,RUNE-USD,crypto,crypto,4630
MKR-USD,MKR-USD,crypto,crypto,4620
FET-USD,FET-USD,crypto,crypto,4610
