asset_id,ticker,sector_gics,sector_internal,liquidity_proxy
ACTG,ACTG,consumer_discretionary,consumer_discretionary,2522
AIOT,AIOT,consumer_discretionary,consumer_discretionary,2522
AMPG,AMPG,consumer_discretionary,consumer_discretionary,2522
AMZN,AMZN,consumer_discretionary,consumer_discretionary,2522
APPS,APPS,consumer_discretionary,consumer_discretionary,2522
ARES,ARES,consumer_discretionary,consumer_discretionary,2522
AXON,AXON,consumer_discretionary,consumer_discretionary,2522
BKNG,BKNG,consumer_discretionary,consumer_discretionary,2522
BWEN,BWEN,consumer_discretionary,consumer_discretionary,2522
BX,BX,consumer_discretionary,consumer_discretionary,2522
CABO,CABO,consumer_discretionary,consumer_discretionary,2522
CELH,CELH,consumer_discretionary,consumer_discretionary,2522
CHTR,CHTR,consumer_discretionary,consumer_discretionary,2522
CMG,CMG,consumer_discretionary,consumer_discretionary,2522
CPRT,CPRT,consumer_discretionary,consumer_discretionary,2522
CTLP,CTLP,consumer_discretionary,consumer_discretionary,2522
CXDO,CXDO,consumer_discretionary,consumer_discretionary,2522
DHI,DHI,consumer_discretionary,consumer_discretionary,2522
EBAY,EBAY,consumer_discretionary,consumer_discretionary,2522
EL,EL,consumer_discretionary,consumer_discretionary,2522
EXAS,EXAS,consumer_discretionary,consumer_discretionary,2522
EXPE,EXPE,consumer_discretionary,consumer_discretionary,5187
EXTR,EXTR,consumer_discretionary,consumer_discretionary,2522
FRPT,FRPT,consumer_discretionary,consumer_discretionary,2522
HD,HD,consumer_discretionary,consumer_discretionary,2522
ILMN,ILMN,consumer_discretionary,consumer_discretionary,2522
INSG,INSG,consumer_discretionary,consumer_discretionary,2522
INSM,INSM,consumer_discretionary,consumer_discretionary,2522
IRDM,IRDM,consumer_discretionary,consumer_discretionary,2522
JYNT,JYNT,consumer_discretionary,consumer_discretionary,2522
QSR,QSR,consumer_discretionary,consumer_discretionary,2823
ROL,ROL,consumer_discretionary,consumer_discretionary,5287
TSCO,TSCO,consumer_discretionary,consumer_discretionary,5287
ULTA,ULTA,consumer_discretionary,consumer_discretionary,4617
XLY,XLY,consumer_discretionary,consumer_discretionary,2553
BUD,BUD,consumer_staples,consumer_staples,4193
CAG,CAG,consumer_staples,consumer_staples,2522
CALM,CALM,consumer_staples,consumer_staples,2522
CCEP,CCEP,consumer_staples,consumer_staples,9891
