asset,group
BTC-USD,crypto
ETH-USD,crypto
BNB-USD,crypto
XRP-USD,crypto
SOL-USD,crypto
TRX-USD,crypto
DOGE-USD,crypto
ADA-USD,crypto
BCH-USD,crypto
LINK-USD,crypto
XLM-USD,crypto
LTC-USD,crypto
AVAX-USD,crypto
HBAR-USD,crypto
SUI-USD,crypto
DOT-USD,crypto
NEAR-USD,crypto
AAVE-USD,crypto
ICP-USD,crypto
TON-USD,crypto
UNI-USD,crypto
XMR-USD,crypto
MATIC-USD,crypto
ATOM-USD,crypto
FIL-USD,crypto
SHIB-USD,crypto
TAO-USD,crypto
ETC-USD,crypto
ALGO-USD,crypto
PEPE-USD,crypto
ONDO-USD,crypto
APT-USD,crypto
OP-USD,crypto
ARB-USD,crypto
INJ-USD,crypto
IMX-USD,crypto
RUNE-USD,crypto
MKR-USD,crypto
FET-USD,crypto
