as_of_date,scenario_id,alias,capital_brl,market_state,ticket_id,ticker,side,notional_brl,reason
2023-01-02,hephaestus_1000,Hephaestus,1000.0,balanced,ccf5335b-479d-42ee-b2d5-f81553dbe5d7,BTC-USD,buy,233.33333333333334,historical_hephaestus_balanced
2023-01-02,hephaestus_1000,Hephaestus,1000.0,balanced,8f9f9acc-3a70-48e6-92ce-fc74769416c0,ITUB4.SA,buy,175.0,historical_hephaestus_balanced
2023-01-02,hephaestus_1000,Hephaestus,1000.0,balanced,195fa90a-6014-48fb-950e-e6b597034c26,PETR4.SA,buy,175.0,historical_hephaestus_balanced
2023-01-12,hephaestus_1000,Hephaestus,1000.0,balanced,84e67b0b-4da1-4c77-a78e-4e2f2c87c3f9,ETH-USD,buy,121.0208180158167,historical_hephaestus_balanced
2023-01-24,hephaestus_1000,Hephaestus,1000.0,risk_on,91454b6a-830f-4990-bc91-29d151972e38,BTC-USD,buy,88.54403240839133,historical_hephaestus_risk_on
2023-01-24,hephaestus_1000,Hephaestus,1000.0,risk_on,1f9e2e73-6900-4255-bd6b-d0d3ac010e56,ETH-USD,buy,69.6521976605959,historical_hephaestus_risk_on
2023-02-03,hephaestus_1000,Hephaestus,1000.0,opportunistic,cc1cc682-8b1d-484a-9b62-1b0a7deaf159,ITUB4.SA,sell,176.71819764986319,historical_hephaestus_opportunistic
2023-02-03,hephaestus_1000,Hephaestus,1000.0,opportunistic,f2d97461-7fbb-4a48-acbc-8af886973203,SOL-USD,buy,123.15063206966373,historical_hephaestus_opportunistic
2023-02-14,hephaestus_1000,Hephaestus,1000.0,balanced,f8273e6f-2be2-4307-8c23-6eba0860a515,BTC-USD,sell,143.39863289374628,historical_hephaestus_balanced
2023-02-14,hephaestus_1000,Hephaestus,1000.0,balanced,7ade676a-13eb-4457-9c90-dd9bfddc6e60,ETH-USD,sell,75.5427629019902,historical_hephaestus_balanced
2023-02-14,hephaestus_1000,Hephaestus,1000.0,balanced,cd3d4b69-6df7-4cd6-a724-38b14a7ae137,ITUB4.SA,buy,190.6000142274673,historical_hephaestus_balanced
2023-02-14,hephaestus_1000,Hephaestus,1000.0,balanced,472fbfc8-ca59-49c0-85f0-637663e5d34f,SOL-USD,sell,108.93518851362721,historical_hephaestus_balanced
2023-02-21,hephaestus_1000,Hephaestus,1000.0,opportunistic,3c4c8058-30bc-48af-b5a3-7b4008461628,BTC-USD,buy,137.75651023365856,historical_hephaestus_opportunistic
2023-02-21,hephaestus_1000,Hephaestus,1000.0,opportunistic,5fe50088-6d31-4bac-93e5-2f3f2e095373,ITUB4.SA,sell,191.81314735177165,historical_hephaestus_opportunistic
2023-02-21,hephaestus_1000,Hephaestus,1000.0,opportunistic,cfe9c3d1-1110-4359-9df0-5b873f0c7690,SOL-USD,buy,122.84510738924767,historical_hephaestus_opportunistic
2023-02-28,hephaestus_1000,Hephaestus,1000.0,balanced,0f3a48ea-a0f5-43ca-b60a-7048fb3ce7cc,BTC-USD,sell,144.2402010776787,historical_hephaestus_balanced
2023-02-28,hephaestus_1000,Hephaestus,1000.0,balanced,34556c62-2926-4a88-a090-b796b4c234b6,ITUB4.SA,buy,188.2849901897047,historical_hephaestus_balanced
