id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2021-01-30;5412.17275000
NE;Nordeste;2021-01-30;10950.91554167
S;Sul;2021-01-30;11414.42695833
SE;Sudeste/Centro-Oeste;2021-01-30;42435.71379167
N;Norte;2021-01-31;5291.73062500
NE;Nordeste;2021-01-31;10224.24541667
S;Sul;2021-01-31;9893.82245833
SE;Sudeste/Centro-Oeste;2021-01-31;39239.75420833
N;Norte;2021-02-01;5782.34591667
NE;Nordeste;2021-02-01;11212.70108333
S;Sul;2021-02-01;12990.75091667
SE;Sudeste/Centro-Oeste;2021-02-01;44828.57495833
N;Norte;2021-02-02;5759.86662500
NE;Nordeste;2021-02-02;11484.77879167
S;Sul;2021-02-02;13752.40508333
SE;Sudeste/Centro-Oeste;2021-02-02;45476.85429167
N;Norte;2021-02-03;5816.83054167
NE;Nordeste;2021-02-03;11649.53062500
S;Sul;2021-02-03;14121.53016667
SE;Sudeste/Centro-Oeste;2021-02-03;45651.63525000
N;Norte;2021-02-04;5958.99704167
NE;Nordeste;2021-02-04;11772.85354167
S;Sul;2021-02-04;13528.74650000
SE;Sudeste/Centro-Oeste;2021-02-04;46490.86166667
N;Norte;2021-02-05;5943.87425000
NE;Nordeste;2021-02-05;11791.53316667
S;Sul;2021-02-05;12599.45500000
SE;Sudeste/Centro-Oeste;2021-02-05;44511.86800000
N;Norte;2021-02-06;5604.06266667
NE;Nordeste;2021-02-06;11458.60733333
S;Sul;2021-02-06;10807.92420792
SE;Sudeste/Centro-Oeste;2021-02-06;38466.02554167
N;Norte;2021-02-07;5338.76458333
NE;Nordeste;2021-02-07;10796.34066667
S;Sul;2021-02-07;9552.41195853
SE;Sudeste/Centro-Oeste;2021-02-07;34060.33208333
N;Norte;2021-02-08;5679.41487500
NE;Nordeste;2021-02-08;11815.28125000
S;Sul;2021-02-08;12693.80666768
SE;Sudeste/Centro-Oeste;2021-02-08;39053.74466667
N;Norte;2021-02-09;5667.45741667
NE;Nordeste;2021-02-09;11726.41370833
S;Sul;2021-02-09;13277.54258333
SE;Sudeste/Centro-Oeste;2021-02-09;40171.32270833
N;Norte;2021-02-10;5609.41616667
NE;Nordeste;2021-02-10;11509.47920833
S;Sul;2021-02-10;13397.67066667
SE;Sudeste/Centro-Oeste;2021-02-10;40884.48512500
N;Norte;2021-02-11;5644.08820833
NE;Nordeste;2021-02-11;11499.09200000
S;Sul;2021-02-11;13286.77362640
