id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2026-01-01;7649.438875
NE;Nordeste;2026-01-01;12269.97258333
S;Sul;2026-01-01;11203.19591667
SE;Sudeste/Centro-Oeste;2026-01-01;40463.7935
N;Norte;2026-01-02;8235.20833333
NE;Nordeste;2026-01-02;13703.66220833
S;Sul;2026-01-02;12560.747125
SE;Sudeste/Centro-Oeste;2026-01-02;44884.27916667
N;Norte;2026-01-03;8129.29166667
NE;Nordeste;2026-01-03;13457.45291667
S;Sul;2026-01-03;12131.754125
SE;Sudeste/Centro-Oeste;2026-01-03;43201.07991667
N;Norte;2026-01-04;7888.99120833
NE;Nordeste;2026-01-04;12708.1665
S;Sul;2026-01-04;10540.81058333
SE;Sudeste/Centro-Oeste;2026-01-04;40391.986375
N;Norte;2026-01-05;8499.976125
NE;Nordeste;2026-01-05;14019.96679167
S;Sul;2026-01-05;12786.24166667
SE;Sudeste/Centro-Oeste;2026-01-05;43145.79370833
N;Norte;2026-01-06;8471.5495
NE;Nordeste;2026-01-06;14193.6755
S;Sul;2026-01-06;14210.00229167
SE;Sudeste/Centro-Oeste;2026-01-06;43893.26170833
N;Norte;2026-01-07;8340.21708333
NE;Nordeste;2026-01-07;14280.46670833
S;Sul;2026-01-07;15939.28754167
SE;Sudeste/Centro-Oeste;2026-01-07;45859.37558333
N;Norte;2026-01-08;8369.85329167
NE;Nordeste;2026-01-08;14477.01858333
S;Sul;2026-01-08;16435.15258333
SE;Sudeste/Centro-Oeste;2026-01-08;47396.49141667
N;Norte;2026-01-09;8306.48091667
NE;Nordeste;2026-01-09;14492.44954167
S;Sul;2026-01-09;16384.60745833
SE;Sudeste/Centro-Oeste;2026-01-09;49702.03716667
N;Norte;2026-01-10;8267.07583333
NE;Nordeste;2026-01-10;13749.46570833
S;Sul;2026-01-10;13645.91745833
SE;Sudeste/Centro-Oeste;2026-01-10;46929.53729167
N;Norte;2026-01-11;7802.38079167
NE;Nordeste;2026-01-11;12942.20554167
S;Sul;2026-01-11;11519.192625
SE;Sudeste/Centro-Oeste;2026-01-11;43884.43141667
N;Norte;2026-01-12;8093.791875
NE;Nordeste;2026-01-12;14600.39341667
S;Sul;2026-01-12;15062.539625
SE;Sudeste/Centro-Oeste;2026-01-12;51195.19054167
N;Norte;2026-01-13;8308.77654167
NE;Nordeste;2026-01-13;14151.28995833
S;Sul;2026-01-13;15907.14679167
SE;Sudeste/Centro-Oeste;2026-01-13;50856.151875
N;Norte;2026-01-14;8241.78683333
NE;Nordeste;2026-01-14;14431.449
S;Sul;2026-01-14;16799.24795833
SE;Sudeste/Centro-Oeste;2026-01-14;50148.74083333
N;Norte;2026-01-15;8354.999
NE;Nordeste;2026-01-15;14467.51966667
S;Sul;2026-01-15;17722.70558333
SE;Sudeste/Centro-Oeste;2026-01-15;49976.89479167
N;Norte;2026-01-16;8497.261125
NE;Nordeste;2026-01-16;14744.60595833
S;Sul;2026-01-16;17931.13075
SE;Sudeste/Centro-Oeste;2026-01-16;50055.22116667
N;Norte;2026-01-17;8165.33508333
NE;Nordeste;2026-01-17;14047.20779167
S;Sul;2026-01-17;15287.258125
SE;Sudeste/Centro-Oeste;2026-01-17;46924.950625
N;Norte;2026-01-18;7790.212
NE;Nordeste;2026-01-18;12902.27441667
S;Sul;2026-01-18;13303.36229167
SE;Sudeste/Centro-Oeste;2026-01-18;43471.70120833
N;Norte;2026-01-19;8283.91266667
NE;Nordeste;2026-01-19;14171.5195
S;Sul;2026-01-19;15292.799625
SE;Sudeste/Centro-Oeste;2026-01-19;48526.48916667
N;Norte;2026-01-20;8171.93141667
NE;Nordeste;2026-01-20;14269.27529167
S;Sul;2026-01-20;14928.68141667
SE;Sudeste/Centro-Oeste;2026-01-20;45766.91041667
N;Norte;2026-01-21;8335.18479167
NE;Nordeste;2026-01-21;13922.33720833
S;Sul;2026-01-21;15261.64558333
SE;Sudeste/Centro-Oeste;2026-01-21;44642.8265
N;Norte;2026-01-22;8225.857375
NE;Nordeste;2026-01-22;13718.29645833
S;Sul;2026-01-22;15594.81633333
SE;Sudeste/Centro-Oeste;2026-01-22;44616.07675
N;Norte;2026-01-23;8382.74633333
