id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2018-01-01;4828.07250000
NE;Nordeste;2018-01-01;9237.88683333
S;Sul;2018-01-01;8350.80920833
SE;Sudeste/Centro-Oeste;2018-01-01;30268.42412500
N;Norte;2018-01-02;5430.98100000
NE;Nordeste;2018-01-02;10783.59258333
S;Sul;2018-01-02;10178.03254167
SE;Sudeste/Centro-Oeste;2018-01-02;36875.34020833
N;Norte;2018-01-03;5457.93883333
NE;Nordeste;2018-01-03;11157.16245833
S;Sul;2018-01-03;11138.50520833
SE;Sudeste/Centro-Oeste;2018-01-03;38552.69262500
N;Norte;2018-01-04;5406.32604167
NE;Nordeste;2018-01-04;11154.23962500
S;Sul;2018-01-04;11696.33566667
SE;Sudeste/Centro-Oeste;2018-01-04;37938.60470833
N;Norte;2018-01-05;5449.58275000
NE;Nordeste;2018-01-05;10969.04862500
S;Sul;2018-01-05;12369.50083333
SE;Sudeste/Centro-Oeste;2018-01-05;37663.77966667
N;Norte;2018-01-06;5256.29991667
NE;Nordeste;2018-01-06;10324.65745833
S;Sul;2018-01-06;11012.35345833
SE;Sudeste/Centro-Oeste;2018-01-06;35334.61375000
N;Norte;2018-01-07;4889.78150000
NE;Nordeste;2018-01-07;9502.00866667
S;Sul;2018-01-07;9312.76683333
SE;Sudeste/Centro-Oeste;2018-01-07;31739.19737500
N;Norte;2018-01-08;5272.73537500
NE;Nordeste;2018-01-08;10700.57083333
S;Sul;2018-01-08;11720.49087500
SE;Sudeste/Centro-Oeste;2018-01-08;36659.33908333
N;Norte;2018-01-09;5275.13083333
NE;Nordeste;2018-01-09;10883.66537500
S;Sul;2018-01-09;12113.09200000
SE;Sudeste/Centro-Oeste;2018-01-09;37909.52091667
N;Norte;2018-01-10;5178.35179167
NE;Nordeste;2018-01-10;10700.46875000
S;Sul;2018-01-10;12334.14575000
SE;Sudeste/Centro-Oeste;2018-01-10;39347.42266667
N;Norte;2018-01-11;5208.99620833
NE;Nordeste;2018-01-11;10703.88150000
S;Sul;2018-01-11;12497.33883333
SE;Sudeste/Centro-Oeste;2018-01-11;40040.32516667
N;Norte;2018-01-12;5312.07600000
NE;Nordeste;2018-01-12;10853.04187500
S;Sul;2018-01-12;12617.27745833
SE;Sudeste/Centro-Oeste;2018-01-12;39569.30250000
N;Norte;2018-01-13;4967.99012500
NE;Nordeste;2018-01-13;10348.10133333
S;Sul;2018-01-13;11065.13904167
SE;Sudeste/Centro-Oeste;2018-01-13;36581.08004167
N;Norte;2018-01-14;4697.02916667
NE;Nordeste;2018-01-14;9590.60587500
S;Sul;2018-01-14;9762.38087500
SE;Sudeste/Centro-Oeste;2018-01-14;33514.08320833
N;Norte;2018-01-15;5131.90241667
NE;Nordeste;2018-01-15;10565.25475000
S;Sul;2018-01-15;12586.92879167
SE;Sudeste/Centro-Oeste;2018-01-15;39813.39216667
N;Norte;2018-01-16;5332.97435729
NE;Nordeste;2018-01-16;10710.34270833
S;Sul;2018-01-16;12864.55316667
SE;Sudeste/Centro-Oeste;2018-01-16;41243.09779167
N;Norte;2018-01-17;5440.48652817
NE;Nordeste;2018-01-17;10727.48375000
S;Sul;2018-01-17;12886.64154167
SE;Sudeste/Centro-Oeste;2018-01-17;42128.94858333
N;Norte;2018-01-18;5300.23612500
NE;Nordeste;2018-01-18;10918.73070833
S;Sul;2018-01-18;13272.85220833
SE;Sudeste/Centro-Oeste;2018-01-18;43342.24191667
N;Norte;2018-01-19;5234.65770833
NE;Nordeste;2018-01-19;10972.10895833
S;Sul;2018-01-19;12956.82445833
SE;Sudeste/Centro-Oeste;2018-01-19;43622.99158333
N;Norte;2018-01-20;5229.55083333
NE;Nordeste;2018-01-20;10369.21850000
S;Sul;2018-01-20;11008.30729167
SE;Sudeste/Centro-Oeste;2018-01-20;39452.90891667
N;Norte;2018-01-21;4990.58887500
NE;Nordeste;2018-01-21;9524.13475000
S;Sul;2018-01-21;9360.02512500
SE;Sudeste/Centro-Oeste;2018-01-21;36185.29416667
N;Norte;2018-01-22;5530.50595833
NE;Nordeste;2018-01-22;10712.18737500
S;Sul;2018-01-22;12099.57070833
SE;Sudeste/Centro-Oeste;2018-01-22;42894.40741667
N;Norte;2018-01-23;5511.65804167
NE;Nordeste;2018-01-23;10907.81112500
S;Sul;2018-01-23;12685.71466667
SE;Sudeste/Centro-Oeste;2018-01-23;44249.76462500
N;Norte;2018-01-24;5478.17975000
NE;Nordeste;2018-01-24;10768.26862500
S;Sul;2018-01-24;12930.25145833
SE;Sudeste/Centro-Oeste;2018-01-24;44329.28583333
N;Norte;2018-01-25;5411.63454167
NE;Nordeste;2018-01-25;10910.46812500
S;Sul;2018-01-25;12568.32975000
SE;Sudeste/Centro-Oeste;2018-01-25;43445.88816667
N;Norte;2018-01-26;5428.31604167
NE;Nordeste;2018-01-26;10839.49491667
S;Sul;2018-01-26;12497.27441667
SE;Sudeste/Centro-Oeste;2018-01-26;42692.44254167
N;Norte;2018-01-27;5309.22083333
NE;Nordeste;2018-01-27;10093.96745833
S;Sul;2018-01-27;10838.21937500
SE;Sudeste/Centro-Oeste;2018-01-27;38043.35837500
N;Norte;2018-01-28;4959.65195833
NE;Nordeste;2018-01-28;9440.89112500
S;Sul;2018-01-28;9588.59845833
SE;Sudeste/Centro-Oeste;2018-01-28;34781.61900000
N;Norte;2018-01-29;5433.70600000
NE;Nordeste;2018-01-29;10583.68958333
S;Sul;2018-01-29;12529.50216667
SE;Sudeste/Centro-Oeste;2018-01-29;41570.37470833
N;Norte;2018-01-30;5551.80787500
NE;Nordeste;2018-01-30;10904.18979167
S;Sul;2018-01-30;12751.91041667
SE;Sudeste/Centro-Oeste;2018-01-30;40541.29983333
N;Norte;2018-01-31;5622.37708333
NE;Nordeste;2018-01-31;10912.73820833
