id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2019-01-01;4688.34120833
NE;Nordeste;2019-01-01;9273.08991667
S;Sul;2019-01-01;9801.32762500
SE;Sudeste/Centro-Oeste;2019-01-01;30918.89958333
N;Norte;2019-01-02;5251.92716667
NE;Nordeste;2019-01-02;10591.01970833
S;Sul;2019-01-02;12630.65504167
SE;Sudeste/Centro-Oeste;2019-01-02;38032.94879167
N;Norte;2019-01-03;5409.96287500
NE;Nordeste;2019-01-03;11079.84175000
S;Sul;2019-01-03;13222.66925000
SE;Sudeste/Centro-Oeste;2019-01-03;41039.41616667
N;Norte;2019-01-04;5504.57537500
NE;Nordeste;2019-01-04;11260.70241667
S;Sul;2019-01-04;12114.65425000
SE;Sudeste/Centro-Oeste;2019-01-04;41289.15266667
N;Norte;2019-01-05;5247.99945833
NE;Nordeste;2019-01-05;10752.10475000
S;Sul;2019-01-05;10561.58408333
SE;Sudeste/Centro-Oeste;2019-01-05;37378.56325000
N;Norte;2019-01-06;4934.95920833
NE;Nordeste;2019-01-06;9904.68533333
S;Sul;2019-01-06;9895.63887500
SE;Sudeste/Centro-Oeste;2019-01-06;34747.62375000
N;Norte;2019-01-07;5222.09800000
NE;Nordeste;2019-01-07;10923.05054167
S;Sul;2019-01-07;12621.63041667
SE;Sudeste/Centro-Oeste;2019-01-07;41796.84737500
N;Norte;2019-01-08;5144.13279167
NE;Nordeste;2019-01-08;11010.34295833
S;Sul;2019-01-08;13098.88291667
SE;Sudeste/Centro-Oeste;2019-01-08;43712.49045833
N;Norte;2019-01-09;5275.67683333
NE;Nordeste;2019-01-09;11000.07987500
S;Sul;2019-01-09;13315.09970833
SE;Sudeste/Centro-Oeste;2019-01-09;44111.40404167
N;Norte;2019-01-10;5181.99662500
NE;Nordeste;2019-01-10;11077.45616667
S;Sul;2019-01-10;13429.43108333
SE;Sudeste/Centro-Oeste;2019-01-10;44243.31237500
N;Norte;2019-01-11;5197.03700000
NE;Nordeste;2019-01-11;11168.19391667
S;Sul;2019-01-11;12967.17475000
SE;Sudeste/Centro-Oeste;2019-01-11;43831.75654167
N;Norte;2019-01-12;5048.44962500
NE;Nordeste;2019-01-12;10665.80637500
S;Sul;2019-01-12;11188.39175000
SE;Sudeste/Centro-Oeste;2019-01-12;40276.34129167
N;Norte;2019-01-13;4894.35016667
NE;Nordeste;2019-01-13;9929.10191667
S;Sul;2019-01-13;10035.38041667
SE;Sudeste/Centro-Oeste;2019-01-13;36636.38562500
N;Norte;2019-01-14;5204.88141667
NE;Nordeste;2019-01-14;11071.52550000
S;Sul;2019-01-14;13427.23958380
SE;Sudeste/Centro-Oeste;2019-01-14;43677.00545833
N;Norte;2019-01-15;5233.90033333
NE;Nordeste;2019-01-15;11118.65600000
S;Sul;2019-01-15;14021.13787616
SE;Sudeste/Centro-Oeste;2019-01-15;44931.72700000
N;Norte;2019-01-16;5408.78275000
NE;Nordeste;2019-01-16;11417.34216667
S;Sul;2019-01-16;14134.09575105
SE;Sudeste/Centro-Oeste;2019-01-16;45605.42920833
N;Norte;2019-01-17;5489.16929167
NE;Nordeste;2019-01-17;11330.86466667
S;Sul;2019-01-17;14170.92329466
SE;Sudeste/Centro-Oeste;2019-01-17;45205.97262500
N;Norte;2019-01-18;5551.34287500
NE;Nordeste;2019-01-18;11285.68658333
S;Sul;2019-01-18;13419.43753995
SE;Sudeste/Centro-Oeste;2019-01-18;45253.19779167
N;Norte;2019-01-19;5237.07520833
NE;Nordeste;2019-01-19;10738.99933333
S;Sul;2019-01-19;11091.68337493
SE;Sudeste/Centro-Oeste;2019-01-19;41273.04058333
N;Norte;2019-01-20;4952.08108333
NE;Nordeste;2019-01-20;10090.01833333
S;Sul;2019-01-20;9465.66212494
SE;Sudeste/Centro-Oeste;2019-01-20;37977.29695833
N;Norte;2019-01-21;5307.34391667
NE;Nordeste;2019-01-21;11141.95000000
S;Sul;2019-01-21;13034.38583349
SE;Sudeste/Centro-Oeste;2019-01-21;45044.19795833
N;Norte;2019-01-22;5366.81216667
NE;Nordeste;2019-01-22;11416.42404167
S;Sul;2019-01-22;14054.93954186
SE;Sudeste/Centro-Oeste;2019-01-22;46682.29100000
N;Norte;2019-01-23;5488.04229167
NE;Nordeste;2019-01-23;11693.02641667
S;Sul;2019-01-23;14677.77474963
SE;Sudeste/Centro-Oeste;2019-01-23;46700.40475000
N;Norte;2019-01-24;5662.80708333
NE;Nordeste;2019-01-24;11599.84025000
S;Sul;2019-01-24;14183.68441709
SE;Sudeste/Centro-Oeste;2019-01-24;46119.27208333
N;Norte;2019-01-25;5619.57754167
NE;Nordeste;2019-01-25;11546.44158333
S;Sul;2019-01-25;13814.92445826
SE;Sudeste/Centro-Oeste;2019-01-25;43682.18554167
N;Norte;2019-01-26;5385.61091667
NE;Nordeste;2019-01-26;10897.81808333
S;Sul;2019-01-26;12076.18470734
SE;Sudeste/Centro-Oeste;2019-01-26;38501.41245833
N;Norte;2019-01-27;4975.07204167
NE;Nordeste;2019-01-27;9895.61916667
S;Sul;2019-01-27;10775.67245741
SE;Sudeste/Centro-Oeste;2019-01-27;35527.54162500
N;Norte;2019-01-28;5518.18000000
NE;Nordeste;2019-01-28;10861.73983333
S;Sul;2019-01-28;14332.97166667
SE;Sudeste/Centro-Oeste;2019-01-28;43424.96395833
N;Norte;2019-01-29;5657.48645833
NE;Nordeste;2019-01-29;11163.09504167
S;Sul;2019-01-29;15268.38716549
SE;Sudeste/Centro-Oeste;2019-01-29;45660.02337500
N;Norte;2019-01-30;5627.14316667
NE;Nordeste;2019-01-30;11436.50491667
S;Sul;2019-01-30;15645.29612500
SE;Sudeste/Centro-Oeste;2019-01-30;46329.16854167
N;Norte;2019-01-31;5555.15766667
NE;Nordeste;2019-01-31;11516.48225000
S;Sul;2019-01-31;15375.82120821
SE;Sudeste/Centro-Oeste;2019-01-31;46541.48095833
N;Norte;2019-02-01;5514.55095833
NE;Nordeste;2019-02-01;11510.49037500
S;Sul;2019-02-01;14932.68620833
SE;Sudeste/Centro-Oeste;2019-02-01;46624.27866667
N;Norte;2019-02-02;5159.63020833
NE;Nordeste;2019-02-02;10785.45508333
S;Sul;2019-02-02;12262.20675000
SE;Sudeste/Centro-Oeste;2019-02-02;42900.15295833
N;Norte;2019-02-03;5050.79750000
NE;Nordeste;2019-02-03;10237.22208333
S;Sul;2019-02-03;9909.74633333
SE;Sudeste/Centro-Oeste;2019-02-03;38981.84750000
N;Norte;2019-02-04;5626.64608333
NE;Nordeste;2019-02-04;11502.13416667
S;Sul;2019-02-04;12184.11795833
SE;Sudeste/Centro-Oeste;2019-02-04;42913.39666667
N;Norte;2019-02-05;5509.58604167
NE;Nordeste;2019-02-05;11835.42758333
S;Sul;2019-02-05;12444.74579167
SE;Sudeste/Centro-Oeste;2019-02-05;41389.92650000
N;Norte;2019-02-06;5566.30754167
NE;Nordeste;2019-02-06;11364.31158333
S;Sul;2019-02-06;12719.18100000
SE;Sudeste/Centro-Oeste;2019-02-06;40196.77216667
N;Norte;2019-02-07;5475.32891667
NE;Nordeste;2019-02-07;11113.50604167
S;Sul;2019-02-07;13226.22566667
SE;Sudeste/Centro-Oeste;2019-02-07;39733.73404167
N;Norte;2019-02-08;5456.48433333
NE;Nordeste;2019-02-08;11072.18091667
S;Sul;2019-02-08;13814.64775000
SE;Sudeste/Centro-Oeste;2019-02-08;41128.44937500
N;Norte;2019-02-09;5292.09075000
NE;Nordeste;2019-02-09;10594.44420833
S;Sul;2019-02-09;12563.14854167
SE;Sudeste/Centro-Oeste;2019-02-09;38330.85554167
N;Norte;2019-02-10;5017.18558333
NE;Nordeste;2019-02-10;9842.10187500
S;Sul;2019-02-10;11142.89345833
