id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2020-01-01;4851.26620833
NE;Nordeste;2020-01-01;9118.71941667
S;Sul;2020-01-01;9969.99487500
SE;Sudeste/Centro-Oeste;2020-01-01;33195.12464583
N;Norte;2020-01-02;5213.67437500
NE;Nordeste;2020-01-02;10401.44875000
S;Sul;2020-01-02;11190.42941667
SE;Sudeste/Centro-Oeste;2020-01-02;38358.14166667
N;Norte;2020-01-03;5463.49162500
NE;Nordeste;2020-01-03;10840.66125000
S;Sul;2020-01-03;11121.44704167
SE;Sudeste/Centro-Oeste;2020-01-03;37724.80279167
N;Norte;2020-01-04;5325.72995833
NE;Nordeste;2020-01-04;10478.52141667
S;Sul;2020-01-04;10443.86595833
SE;Sudeste/Centro-Oeste;2020-01-04;35215.18404167
N;Norte;2020-01-05;5166.78912500
NE;Nordeste;2020-01-05;9775.33308333
S;Sul;2020-01-05;9790.93504167
SE;Sudeste/Centro-Oeste;2020-01-05;32901.61995833
N;Norte;2020-01-06;5448.92191667
NE;Nordeste;2020-01-06;10895.48650000
S;Sul;2020-01-06;12860.62933333
SE;Sudeste/Centro-Oeste;2020-01-06;38685.67754167
N;Norte;2020-01-07;5419.04812500
NE;Nordeste;2020-01-07;11285.49120833
S;Sul;2020-01-07;13524.41445833
SE;Sudeste/Centro-Oeste;2020-01-07;41309.47375000
N;Norte;2020-01-08;5374.47400000
NE;Nordeste;2020-01-08;11332.52400000
S;Sul;2020-01-08;13620.05170833
SE;Sudeste/Centro-Oeste;2020-01-08;41722.82687500
N;Norte;2020-01-09;5417.98608333
NE;Nordeste;2020-01-09;11258.69566667
S;Sul;2020-01-09;14531.32987500
SE;Sudeste/Centro-Oeste;2020-01-09;41918.32620833
N;Norte;2020-01-10;5419.85495833
NE;Nordeste;2020-01-10;11154.47362500
S;Sul;2020-01-10;14553.25654167
SE;Sudeste/Centro-Oeste;2020-01-10;42702.54950000
N;Norte;2020-01-11;5181.32129167
NE;Nordeste;2020-01-11;10573.66420833
S;Sul;2020-01-11;11907.31766667
SE;Sudeste/Centro-Oeste;2020-01-11;40007.22654167
N;Norte;2020-01-12;4966.80108333
