id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
N;NORTE;2022-01-12;15302.39648438;12303.82324219;80.40460205
SE;SUDESTE;2022-01-12;204615.32812500;70622.82812500;34.51490021
S;SUL;2022-01-12;19657.33007813;7927.11621094;40.32649994
NE;NORDESTE;2022-01-13;51691.22656250;35755.65625000;69.17160034
N;NORTE;2022-01-13;15302.39648438;12526.67675781;81.86090088
SE;SUDESTE;2022-01-13;204615.32812500;72318.89062500;35.34379959
S;SUL;2022-01-13;19657.33007813;7846.36523438;39.91569901
NE;NORDESTE;2022-01-14;51691.22656250;36349.84765625;70.32109833
N;NORTE;2022-01-14;15302.39648438;12720.29199219;83.12609863
SE;SUDESTE;2022-01-14;204615.32812500;73726.71093750;36.03189850
S;SUL;2022-01-14;19657.33007813;7736.54394531;39.35699844
NE;NORDESTE;2022-01-15;51691.22656250;36904.30859375;71.39379883
N;NORTE;2022-01-15;15302.39648438;12854.44042969;84.00279999
SE;SUDESTE;2022-01-15;204615.32812500;74851.63281250;36.58160019
S;SUL;2022-01-15;19657.33007813;7706.05517578;39.20190048
NE;NORDESTE;2022-01-16;51691.22656250;37177.31640625;71.92189789
N;NORTE;2022-01-16;15302.39648438;12955.71679688;84.66459656
SE;SUDESTE;2022-01-16;204615.32812500;76022.41406250;37.15380096
S;SUL;2022-01-16;19657.33007813;7678.95410156;39.06409836
NE;NORDESTE;2022-01-17;51691.22656250;37408.95312500;72.37000275
N;NORTE;2022-01-17;15302.39648438;13041.84472656;85.22750092
SE;SUDESTE;2022-01-17;204615.32812500;76783.50000000;37.52579880
S;SUL;2022-01-17;19657.33007813;7595.72802734;38.64070129
NE;NORDESTE;2022-01-18;51691.22656250;37611.23437500;72.76129913
N;NORTE;2022-01-18;15302.39648438;13103.32128906;85.62920380
SE;SUDESTE;2022-01-18;204615.32812500;77605.25781250;37.92739868
S;SUL;2022-01-18;19657.33007813;7514.59277344;38.22790146
NE;NORDESTE;2022-01-19;51691.22656250;37861.68359375;73.24590302
N;NORTE;2022-01-19;15302.39648438;13149.35351563;85.93000031
SE;SUDESTE;2022-01-19;204615.32812500;78306.60937500;38.27019882
S;SUL;2022-01-19;19657.33007813;7465.21093750;37.97669983
NE;NORDESTE;2022-01-20;51691.22656250;37916.33984375;73.35160065
N;NORTE;2022-01-20;15302.39648438;13185.85351563;86.16860199
SE;SUDESTE;2022-01-20;204615.32812500;78960.71093750;38.58980179
S;SUL;2022-01-20;19657.33007813;7399.78417969;37.64390182
NE;NORDESTE;2022-01-21;51691.22656250;37944.41015625;73.40589905
