id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2022-04-08;51691.22656250;50156.41015625;97.03079987
N;NORTE;2022-04-08;15302.39648438;15050.95605469;98.35690308
SE;SUDESTE;2022-04-08;204615.32812500;132679.92187500;64.84359741
S;SUL;2022-04-08;19657.33007813;9687.80468750;49.28340149
NE;NORDESTE;2022-04-09;51691.22656250;50194.71875000;97.10489655
N;NORTE;2022-04-09;15302.39648438;15067.80273438;98.46700287
SE;SUDESTE;2022-04-09;204615.32812500;133036.32812500;65.01779938
S;SUL;2022-04-09;19657.33007813;9908.81835938;50.40779877
NE;NORDESTE;2022-04-10;51691.22656250;50184.48437500;97.08509827
N;NORTE;2022-04-10;15302.39648438;15046.43359375;98.32730103
SE;SUDESTE;2022-04-10;204615.32812500;133348.39062500;65.17030334
S;SUL;2022-04-10;19657.33007813;10158.05175781;51.67559814
NE;NORDESTE;2022-04-11;51691.22656250;50105.60546875;96.93250275
N;NORTE;2022-04-11;15302.39648438;15020.22167969;98.15599823
SE;SUDESTE;2022-04-11;204615.32812500;133488.75000000;65.23889923
S;SUL;2022-04-11;19657.33007813;10280.90820313;52.30059814
NE;NORDESTE;2022-04-12;51691.22656250;50043.91015625;96.81320190
N;NORTE;2022-04-12;15302.39648438;15060.40722656;98.41860199
SE;SUDESTE;2022-04-12;204615.32812500;133643.37500000;65.31439972
S;SUL;2022-04-12;19657.33007813;10443.90332031;53.12979889
NE;NORDESTE;2022-04-13;51691.22656250;49956.84375000;96.64469910
N;NORTE;2022-04-13;15302.39648438;15114.04394531;98.76909637
SE;SUDESTE;2022-04-13;204615.32812500;133901.25000000;65.44049835
S;SUL;2022-04-13;19657.33007813;10547.32812500;53.65599823
NE;NORDESTE;2022-04-14;51691.22656250;49893.92578125;96.52300262
N;NORTE;2022-04-14;15302.39648438;15131.28125000;98.88179779
SE;SUDESTE;2022-04-14;204615.32812500;134161.59375000;65.56770325
S;SUL;2022-04-14;19657.33007813;10658.33105469;54.22060013
NE;NORDESTE;2022-04-15;51691.22656250;49884.23046875;96.50430298
N;NORTE;2022-04-15;15302.39648438;15148.83203125;98.99649811
SE;SUDESTE;2022-04-15;204615.32812500;134590.26562500;65.77719879
S;SUL;2022-04-15;19657.33007813;10868.53906250;55.29000092
NE;NORDESTE;2022-04-16;51691.22656250;49876.90234375;96.49009705
N;NORTE;2022-04-16;15302.39648438;15140.38281250;98.94129944
SE;SUDESTE;2022-04-16;204615.32812500;134903.17187500;65.93009949
S;SUL;2022-04-16;19657.33007813;11060.87402344;56.26839828
NE;NORDESTE;2022-04-17;51691.22656250;49870.55078125;96.47779846
N;NORTE;2022-04-17;15302.39648438;15153.91113281;99.02970123
SE;SUDESTE;2022-04-17;204615.32812500;135181.26562500;66.06610107
S;SUL;2022-04-17;19657.33007813;11242.50292969;57.19240189
NE;NORDESTE;2022-04-18;51691.22656250;49907.45703125;96.54920197
N;NORTE;2022-04-18;15302.39648438;15156.88281250;99.04910278
SE;SUDESTE;2022-04-18;204615.32812500;135344.03125000;66.14559937
S;SUL;2022-04-18;19657.33007813;11351.55859375;57.74720001
NE;NORDESTE;2022-04-19;51691.22656250;49968.99609375;96.66819763
N;NORTE;2022-04-19;15302.39648438;15188.59765625;99.25630188
SE;SUDESTE;2022-04-19;204615.32812500;135466.14062500;66.20529938
S;SUL;2022-04-19;19657.33007813;11432.39355469;58.15840149
NE;NORDESTE;2022-04-20;51691.22656250;50063.28515625;96.85060120
N;NORTE;2022-04-20;15302.39648438;15182.29003906;99.21510315
SE;SUDESTE;2022-04-20;204615.32812500;135561.71875000;66.25199890
S;SUL;2022-04-20;19657.33007813;11490.74121094;58.45520020
NE;NORDESTE;2022-04-21;51691.22656250;50156.98437500;97.03189850
N;NORTE;2022-04-21;15302.39648438;15154.37207031;99.03269958
SE;SUDESTE;2022-04-21;204615.32812500;135701.37500000;66.32019806
S;SUL;2022-04-21;19657.33007813;11557.11230469;58.79290009
NE;NORDESTE;2022-04-22;51691.22656250;50189.55078125;97.09490204
N;NORTE;2022-04-22;15302.39648438;15122.44238281;98.82399750
SE;SUDESTE;2022-04-22;204615.32812500;135856.57812500;66.39610291
S;SUL;2022-04-22;19657.33007813;11649.42382813;59.26250076
NE;NORDESTE;2022-04-23;51691.22656250;50119.57812500;96.95950317
N;NORTE;2022-04-23;15302.39648438;15110.23925781;98.74430084
SE;SUDESTE;2022-04-23;204615.32812500;136028.35937500;66.48000336
S;SUL;2022-04-23;19657.33007813;11997.57714844;61.03359985
NE;NORDESTE;2022-04-24;51691.22656250;50055.55859375;96.83570099
N;NORTE;2022-04-24;15302.39648438;15148.77734375;98.99610138
SE;SUDESTE;2022-04-24;204615.32812500;136212.15625000;66.56990051
S;SUL;2022-04-24;19657.33007813;12283.94335938;62.49039841
NE;NORDESTE;2022-04-25;51691.22656250;49993.03125000;96.71469879
N;NORTE;2022-04-25;15302.39648438;15174.46093750;99.16400146
SE;SUDESTE;2022-04-25;204615.32812500;136240.15625000;66.58360291
S;SUL;2022-04-25;19657.33007813;12463.46386719;63.40359879
NE;NORDESTE;2022-04-26;51691.22656250;49957.15234375;96.64530182
N;NORTE;2022-04-26;15302.39648438;15194.27929688;99.29350281
SE;SUDESTE;2022-04-26;204615.32812500;136181.89062500;66.55509949
S;SUL;2022-04-26;19657.33007813;12644.28906250;64.32350159
NE;NORDESTE;2022-04-27;51691.22656250;49926.26171875;96.58560181
N;NORTE;2022-04-27;15302.39648438;15185.60156250;99.23680115
SE;SUDESTE;2022-04-27;204615.32812500;136131.07812500;66.53019714
S;SUL;2022-04-27;19657.33007813;12801.62011719;65.12390137
NE;NORDESTE;2022-04-28;51691.22656250;49859.58984375;96.45659637
N;NORTE;2022-04-28;15302.39648438;15179.98437500;99.19999695
SE;SUDESTE;2022-04-28;204615.32812500;136006.82812500;66.46949768
S;SUL;2022-04-28;19657.33007813;12924.79687500;65.75050354
NE;NORDESTE;2022-04-29;51691.22656250;49771.95703125;96.28710175
N;NORTE;2022-04-29;15302.39648438;15163.28515625;99.09089661
SE;SUDESTE;2022-04-29;204615.32812500;135978.12500000;66.45549774
S;SUL;2022-04-29;19657.33007813;13029.25390625;66.28189850
NE;NORDESTE;2022-04-30;51691.22656250;49683.40234375;96.11569977
N;NORTE;2022-04-30;15302.39648438;15160.00683594;99.06950378
SE;SUDESTE;2022-04-30;204615.32812500;136167.09375000;66.54779816
S;SUL;2022-04-30;19657.33007813;13182.06347656;67.05930328
NE;NORDESTE;2022-05-01;51691.22656250;49554.38671875;95.86609650
N;NORTE;2022-05-01;15302.39648438;15170.58300781;99.13860321
SE;SUDESTE;2022-05-01;204615.32812500;136254.98437500;66.59079742
S;SUL;2022-05-01;19657.33007813;13427.31054688;68.30690002
NE;NORDESTE;2022-05-02;51691.22656250;49522.81250000;95.80509949
N;NORTE;2022-05-02;15302.39648438;15153.31933594;99.02580261
SE;SUDESTE;2022-05-02;204615.32812500;136232.84375000;66.58000183
S;SUL;2022-05-02;19657.33007813;13845.32324219;70.43340302
NE;NORDESTE;2022-05-03;51691.22656250;49448.17968750;95.66069794
N;NORTE;2022-05-03;15302.39648438;15178.24511719;99.18869781
SE;SUDESTE;2022-05-03;204615.32812500;136257.00000000;66.59179688
S;SUL;2022-05-03;19657.33007813;14878.06835938;75.68710327
NE;NORDESTE;2022-05-04;51691.22656250;49400.56640625;95.56860352
N;NORTE;2022-05-04;15302.39648438;15227.84765625;99.51280212
SE;SUDESTE;2022-05-04;204615.32812500;136231.28125000;66.57920074
S;SUL;2022-05-04;19657.33007813;15726.95996094;80.00559998
NE;NORDESTE;2022-05-05;51691.22656250;49395.68750000;95.55909729
N;NORTE;2022-05-05;15302.39648438;15244.33886719;99.62059784
SE;SUDESTE;2022-05-05;204615.32812500;136300.04687500;66.61280060
S;SUL;2022-05-05;19657.33007813;16108.85742188;81.94830322
NE;NORDESTE;2022-05-06;51691.22656250;49399.23828125;95.56600189
N;NORTE;2022-05-06;15302.39648438;15264.53515625;99.75260162
SE;SUDESTE;2022-05-06;204615.32812500;136359.51562500;66.64189911
S;SUL;2022-05-06;19657.33007813;16414.17578125;83.50150299
NE;NORDESTE;2022-05-07;51691.22656250;49413.75781250;95.59410095
N;NORTE;2022-05-07;15302.39648438;15252.92480469;99.67669678
SE;SUDESTE;2022-05-07;204615.32812500;136469.15625000;66.69550323
S;SUL;2022-05-07;19657.33007813;16724.07812500;85.07810211
NE;NORDESTE;2022-05-08;51691.22656250;49390.85937500;95.54979706
N;NORTE;2022-05-08;15302.39648438;15232.89257813;99.54579926
SE;SUDESTE;2022-05-08;204615.32812500;136664.59375000;66.79100037
S;SUL;2022-05-08;19657.33007813;17024.56054688;86.60669708
NE;NORDESTE;2022-05-09;51691.22656250;49354.43750000;95.47930145
N;NORTE;2022-05-09;15302.39648438;15188.46582031;99.25550079
SE;SUDESTE;2022-05-09;204615.32812500;136697.15625000;66.80690002
S;SUL;2022-05-09;19657.33007813;17182.22265625;87.40869904
NE;NORDESTE;2022-05-10;51691.22656250;49341.93750000;95.45510101
N;NORTE;2022-05-10;15302.39648438;15179.89257813;99.19950104
SE;SUDESTE;2022-05-10;204615.32812500;136619.78125000;66.76909637
S;SUL;2022-05-10;19657.33007813;17316.49804688;88.09179688
NE;NORDESTE;2022-05-11;51691.22656250;49331.84765625;95.43560028
N;NORTE;2022-05-11;15302.39648438;15183.52734375;99.22319794
SE;SUDESTE;2022-05-11;204615.32812500;136549.01562500;66.73449707
S;SUL;2022-05-11;19657.33007813;17430.25781250;88.67050171
NE;NORDESTE;2022-05-12;51691.22656250;49309.73437500;95.39289856
N;NORTE;2022-05-12;15302.39648438;15225.78125000;99.49929810
SE;SUDESTE;2022-05-12;204615.32812500;136474.60937500;66.69809723
S;SUL;2022-05-12;19657.33007813;17474.08789063;88.89350128
NE;NORDESTE;2022-05-13;51691.22656250;49319.73437500;95.41220093
N;NORTE;2022-05-13;15302.39648438;15241.16601563;99.59989929
SE;SUDESTE;2022-05-13;204615.32812500;136469.70312500;66.69570160
S;SUL;2022-05-13;19657.33007813;17454.46875000;88.79370117
NE;NORDESTE;2022-05-14;51691.22656250;49326.51171875;95.42530060
N;NORTE;2022-05-14;15302.39648438;15236.89648438;99.57199860
SE;SUDESTE;2022-05-14;204615.32812500;136538.85937500;66.72949982
S;SUL;2022-05-14;19657.33007813;17518.15820313;89.11769867
NE;NORDESTE;2022-05-15;51691.22656250;49324.98437500;95.42240143
N;NORTE;2022-05-15;15302.39648438;15237.96289063;99.57890320
SE;SUDESTE;2022-05-15;204615.32812500;136748.50000000;66.83200073
S;SUL;2022-05-15;19657.33007813;17546.54687500;89.26210022
NE;NORDESTE;2022-05-16;51691.22656250;49315.45312500;95.40390015
N;NORTE;2022-05-16;15302.39648438;15204.72167969;99.36170197
SE;SUDESTE;2022-05-16;204615.32812500;136712.42187500;66.81439972
S;SUL;2022-05-16;19657.33007813;17533.47265625;89.19560242
NE;NORDESTE;2022-05-17;51691.22656250;49311.69531250;95.39659882
N;NORTE;2022-05-17;15302.39648438;15201.92382813;99.34339905
SE;SUDESTE;2022-05-17;204615.32812500;136639.87500000;66.77890015
S;SUL;2022-05-17;19657.33007813;17528.40429688;89.16979980
NE;NORDESTE;2022-05-18;51691.22656250;49268.83203125;95.31369781
N;NORTE;2022-05-18;15302.39648438;15220.72851563;99.46630096
SE;SUDESTE;2022-05-18;204615.32812500;136566.04687500;66.74279785
S;SUL;2022-05-18;19657.33007813;17517.30078125;89.11329651
NE;NORDESTE;2022-05-19;51691.22656250;49220.51562500;95.22029877
N;NORTE;2022-05-19;15302.39648438;15242.07226563;99.60579681
SE;SUDESTE;2022-05-19;204615.32812500;136554.04687500;66.73699951
S;SUL;2022-05-19;19657.33007813;17500.02929688;89.02549744
NE;NORDESTE;2022-05-20;51691.22656250;49195.35546875;95.17160034
N;NORTE;2022-05-20;15302.39648438;15221.17871094;99.46929932
SE;SUDESTE;2022-05-20;204615.32812500;136474.71875000;66.69819641
S;SUL;2022-05-20;19657.33007813;17475.39648438;88.90019989
NE;NORDESTE;2022-05-21;51691.22656250;49169.13281250;95.12079620
N;NORTE;2022-05-21;15302.39648438;15210.27148438;99.39800262
SE;SUDESTE;2022-05-21;204615.32812500;136521.15625000;66.72090149
S;SUL;2022-05-21;19657.33007813;17484.95507813;88.94879913
NE;NORDESTE;2022-05-22;51691.22656250;49144.58593750;95.07340240
N;NORTE;2022-05-22;15302.39648438;15252.49707031;99.67389679
SE;SUDESTE;2022-05-22;204615.32812500;136585.62500000;66.75240326
S;SUL;2022-05-22;19657.33007813;17514.98437500;89.10150146
NE;NORDESTE;2022-05-23;51691.22656250;49127.24218750;95.03980255
N;NORTE;2022-05-23;15302.39648438;15243.87695313;99.61759949
SE;SUDESTE;2022-05-23;204615.32812500;136492.87500000;66.70709991
S;SUL;2022-05-23;19657.33007813;17480.76562500;88.92749786
NE;NORDESTE;2022-05-24;51691.22656250;49068.10156250;94.92539978
N;NORTE;2022-05-24;15302.39648438;15238.87792969;99.58489990
SE;SUDESTE;2022-05-24;204615.32812500;136392.00000000;66.65779877
S;SUL;2022-05-24;19657.33007813;17421.94140625;88.62819672
NE;NORDESTE;2022-05-25;51691.22656250;49022.98046875;94.83809662
N;NORTE;2022-05-25;15302.39648438;15237.04394531;99.57289886
SE;SUDESTE;2022-05-25;204615.32812500;136290.03125000;66.60790253
S;SUL;2022-05-25;19657.33007813;17336.98828125;88.19609833
NE;NORDESTE;2022-05-26;51691.22656250;49037.83203125;94.86679840
N;NORTE;2022-05-26;15302.39648438;15238.66210938;99.58350372
SE;SUDESTE;2022-05-26;204615.32812500;136221.68750000;66.57450104
S;SUL;2022-05-26;19657.33007813;17306.97656250;88.04340363
NE;NORDESTE;2022-05-27;51691.22656250;49061.02734375;94.91169739
N;NORTE;2022-05-27;15302.39648438;15232.50488281;99.54329681
SE;SUDESTE;2022-05-27;204615.32812500;136122.59375000;66.52610016
S;SUL;2022-05-27;19657.33007813;17232.40234375;87.66400146
NE;NORDESTE;2022-05-28;51691.22656250;48974.37109375;94.74410248
N;NORTE;2022-05-28;15302.39648438;15183.74023438;99.22460175
SE;SUDESTE;2022-05-28;204615.32812500;136162.50000000;66.54560089
S;SUL;2022-05-28;19657.33007813;17195.47070313;87.47609711
NE;NORDESTE;2022-05-29;51691.22656250;48865.33593750;94.53309631
N;NORTE;2022-05-29;15302.39648438;15173.26660156;99.15619659
SE;SUDESTE;2022-05-29;204615.32812500;136267.14062500;66.59670258
S;SUL;2022-05-29;19657.33007813;17528.25585938;89.16909790
NE;NORDESTE;2022-05-30;51691.22656250;48780.03125000;94.36810303
N;NORTE;2022-05-30;15302.39648438;15153.10742188;99.02439880
SE;SUDESTE;2022-05-30;204615.32812500;136023.01562500;66.47740173
S;SUL;2022-05-30;19657.33007813;17716.02343750;90.12429810
NE;NORDESTE;2022-05-31;51691.22656250;48732.01562500;94.27519989
N;NORTE;2022-05-31;15302.39648438;15128.31738281;98.86239624
SE;SUDESTE;2022-05-31;204615.32812500;135898.03125000;66.41629791
S;SUL;2022-05-31;19657.33007813;17743.80078125;90.26560211
NE;NORDESTE;2022-06-01;51691.22656250;48681.96093750;94.17839813
N;NORTE;2022-06-01;15302.39648438;15144.68066406;98.96929932
SE;SUDESTE;2022-06-01;204615.32812500;135910.21875000;66.42230225
S;SUL;2022-06-01;19657.33007813;17759.55664063;90.34570313
NE;NORDESTE;2022-06-02;51691.22656250;48623.69140625;94.06569672
N;NORTE;2022-06-02;15302.39648438;15144.54980469;98.96849823
SE;SUDESTE;2022-06-02;204615.32812500;135877.87500000;66.40650177
S;SUL;2022-06-02;19657.33007813;17775.92773438;90.42900085
NE;NORDESTE;2022-06-03;51691.22656250;48569.97656250;93.96170044
N;NORTE;2022-06-03;15302.39648438;15131.04296875;98.88020325
SE;SUDESTE;2022-06-03;204615.32812500;135731.29687500;66.33489990
S;SUL;2022-06-03;19657.33007813;17791.07421875;90.50610352
NE;NORDESTE;2022-06-04;51691.22656250;48533.33984375;93.89089966
N;NORTE;2022-06-04;15302.39648438;15169.20019531;99.12960052
SE;SUDESTE;2022-06-04;204615.32812500;135905.35937500;66.41989899
S;SUL;2022-06-04;19657.33007813;17916.42382813;91.14369965
NE;NORDESTE;2022-06-05;51691.22656250;48467.41406250;93.76329803
N;NORTE;2022-06-05;15302.39648438;15222.17089844;99.47570038
SE;SUDESTE;2022-06-05;204615.32812500;136020.76562500;66.47630310
S;SUL;2022-06-05;19657.33007813;18017.81054688;91.65950012
NE;NORDESTE;2022-06-06;51691.22656250;48450.00781250;93.72969818
N;NORTE;2022-06-06;15302.39648438;15225.24804688;99.49579620
SE;SUDESTE;2022-06-06;204615.32812500;135945.43750000;66.43949890
S;SUL;2022-06-06;19657.33007813;18130.93945313;92.23500061
NE;NORDESTE;2022-06-07;51691.22656250;48376.43359375;93.58730316
N;NORTE;2022-06-07;15302.39648438;15187.14062500;99.24680328
SE;SUDESTE;2022-06-07;204615.32812500;135871.79687500;66.40350342
S;SUL;2022-06-07;19657.33007813;18167.49609375;92.42099762
NE;NORDESTE;2022-06-08;51691.22656250;48361.62109375;93.55870056
N;NORTE;2022-06-08;15302.39648438;15124.93359375;98.84030151
SE;SUDESTE;2022-06-08;204615.32812500;135690.73437500;66.31500244
S;SUL;2022-06-08;19657.33007813;18239.67187500;92.78810120
NE;NORDESTE;2022-06-09;51691.22656250;48347.26562500;93.53089905
N;NORTE;2022-06-09;15302.39648438;15107.11132813;98.72380066
SE;SUDESTE;2022-06-09;204615.32812500;135530.73437500;66.23680115
S;SUL;2022-06-09;19657.33007813;18294.82812500;93.06870270
NE;NORDESTE;2022-06-10;51691.22656250;48325.49609375;93.48880005
N;NORTE;2022-06-10;15302.39648438;15111.28125000;98.75109863
SE;SUDESTE;2022-06-10;204615.32812500;135441.50000000;66.19319916
S;SUL;2022-06-10;19657.33007813;18357.81250000;93.38909912
NE;NORDESTE;2022-06-11;51691.22656250;48299.97656250;93.43939972
N;NORTE;2022-06-11;15302.39648438;15092.97558594;98.63150024
SE;SUDESTE;2022-06-11;204615.32812500;135581.98437500;66.26190186
S;SUL;2022-06-11;19657.33007813;18405.76562500;93.63310242
NE;NORDESTE;2022-06-12;51691.22656250;48242.34765625;93.32790375
N;NORTE;2022-06-12;15302.39648438;15116.56640625;98.78559875
SE;SUDESTE;2022-06-12;204615.32812500;135654.23437500;66.29720306
S;SUL;2022-06-12;19657.33007813;18423.14453125;93.72149658
NE;NORDESTE;2022-06-13;51691.22656250;48206.93359375;93.25939941
N;NORTE;2022-06-13;15302.39648438;15137.22753906;98.92060089
SE;SUDESTE;2022-06-13;204615.32812500;135658.93750000;66.29949951
S;SUL;2022-06-13;19657.33007813;18442.84179688;93.82170105
NE;NORDESTE;2022-06-14;51691.22656250;48148.86718750;93.14710236
N;NORTE;2022-06-14;15302.39648438;15155.30468750;99.03880310
SE;SUDESTE;2022-06-14;204615.32812500;135634.68750000;66.28759766
S;SUL;2022-06-14;19657.33007813;18477.68359375;93.99890137
NE;NORDESTE;2022-06-15;51691.22656250;48082.26562500;93.01820374
N;NORTE;2022-06-15;15302.39648438;15161.75000000;99.08090210
SE;SUDESTE;2022-06-15;204615.32812500;135559.96875000;66.25109863
S;SUL;2022-06-15;19657.33007813;18469.70703125;93.95839691
NE;NORDESTE;2022-06-16;51691.22656250;48008.59375000;92.87570190
N;NORTE;2022-06-16;15302.39648438;15142.34570313;98.95410156
SE;SUDESTE;2022-06-16;204615.32812500;135598.84375000;66.27010345
S;SUL;2022-06-16;19657.33007813;18496.00195313;94.09210205
NE;NORDESTE;2022-06-17;51691.22656250;47925.95312500;92.71579742
N;NORTE;2022-06-17;15302.39648438;15106.82128906;98.72190094
SE;SUDESTE;2022-06-17;204615.32812500;135551.46875000;66.24700165
S;SUL;2022-06-17;19657.33007813;18586.06445313;94.55030060
NE;NORDESTE;2022-06-18;51691.22656250;47857.77343750;92.58390045
N;NORTE;2022-06-18;15302.39648438;15085.41503906;98.58200073
SE;SUDESTE;2022-06-18;204615.32812500;135520.56250000;66.23190308
S;SUL;2022-06-18;19657.33007813;18545.77343750;94.34529877
NE;NORDESTE;2022-06-19;51691.22656250;47782.78125000;92.43890381
N;NORTE;2022-06-19;15302.39648438;15095.78125000;98.64980316
SE;SUDESTE;2022-06-19;204615.32812500;135587.96875000;66.26480103
S;SUL;2022-06-19;19657.33007813;18567.84375000;94.45760345
NE;NORDESTE;2022-06-20;51691.22656250;47723.28906250;92.32379913
N;NORTE;2022-06-20;15302.39648438;15101.80664063;98.68920135
SE;SUDESTE;2022-06-20;204615.32812500;135322.28125000;66.13500214
S;SUL;2022-06-20;19657.33007813;18613.98242188;94.69229889
NE;NORDESTE;2022-06-21;51691.22656250;47703.42968750;92.28540039
N;NORTE;2022-06-21;15302.39648438;15104.18554688;98.70469666
SE;SUDESTE;2022-06-21;204615.32812500;135275.07812500;66.11190033
S;SUL;2022-06-21;19657.33007813;18652.50000000;94.88829803
NE;NORDESTE;2022-06-22;51691.22656250;47673.46875000;92.22740173
N;NORTE;2022-06-22;15302.39648438;15082.83789063;98.56520081
SE;SUDESTE;2022-06-22;204615.32812500;135127.96875000;66.04000092
S;SUL;2022-06-22;19657.33007813;18761.01171875;95.44029999
NE;NORDESTE;2022-06-23;51691.22656250;47645.31640625;92.17289734
N;NORTE;2022-06-23;15302.39648438;15037.05859375;98.26599884
SE;SUDESTE;2022-06-23;204615.32812500;134945.67187500;65.95089722
S;SUL;2022-06-23;19657.33007813;18848.08593750;95.88320160
NE;NORDESTE;2022-06-24;51691.22656250;47579.83203125;92.04620361
N;NORTE;2022-06-24;15302.39648438;15022.75878906;98.17259979
SE;SUDESTE;2022-06-24;204615.32812500;134760.18750000;65.86029816
S;SUL;2022-06-24;19657.33007813;18878.22851563;96.03659821
NE;NORDESTE;2022-06-25;51691.22656250;47531.38281250;91.95249939
N;NORTE;2022-06-25;15302.39648438;15001.13574219;98.03130341
SE;SUDESTE;2022-06-25;204615.32812500;134787.85937500;65.87380219
S;SUL;2022-06-25;19657.33007813;18796.72265625;95.62190247
NE;NORDESTE;2022-06-26;51691.22656250;47476.37890625;91.84609985
N;NORTE;2022-06-26;15302.39648438;14990.53222656;97.96199799
SE;SUDESTE;2022-06-26;204615.32812500;134844.59375000;65.90149689
S;SUL;2022-06-26;19657.33007813;18858.20117188;95.93470001
NE;NORDESTE;2022-06-27;51691.22656250;47417.76953125;91.73269653
N;NORTE;2022-06-27;15302.39648438;14975.72265625;97.86519623
SE;SUDESTE;2022-06-27;204615.32812500;134608.29687500;65.78600311
S;SUL;2022-06-27;19657.33007813;18831.36914063;95.79820251
NE;NORDESTE;2022-06-28;51691.22656250;47362.32031250;91.62550354
N;NORTE;2022-06-28;15302.39648438;14925.73828125;97.53859711
SE;SUDESTE;2022-06-28;204615.32812500;134416.65625000;65.69239807
S;SUL;2022-06-28;19657.33007813;18782.93164063;95.55180359
NE;NORDESTE;2022-06-29;51691.22656250;47275.43359375;91.45739746
N;NORTE;2022-06-29;15302.39648438;14826.82128906;96.89219666
SE;SUDESTE;2022-06-29;204615.32812500;134222.95312500;65.59770203
S;SUL;2022-06-29;19657.33007813;18731.53710938;95.29029846
NE;NORDESTE;2022-06-30;51691.22656250;47192.37890625;91.29669952
N;NORTE;2022-06-30;15302.39648438;14748.62207031;96.38110352
SE;SUDESTE;2022-06-30;204615.32812500;134060.26562500;65.51820374
S;SUL;2022-06-30;19657.33007813;18650.71093750;94.87920380
NE;NORDESTE;2022-07-01;51691.22656250;47111.59765625;91.14040375
N;NORTE;2022-07-01;15302.39648438;14721.43261719;96.20349884
SE;SUDESTE;2022-07-01;204615.32812500;133840.35937500;65.41069794
S;SUL;2022-07-01;19657.33007813;18577.11523438;94.50479889
NE;NORDESTE;2022-07-02;51691.22656250;47037.37109375;90.99680328
N;NORTE;2022-07-02;15302.39648438;14719.47460938;96.19069672
SE;SUDESTE;2022-07-02;204615.32812500;133837.93750000;65.40950012
S;SUL;2022-07-02;19657.33007813;18511.35937500;94.17030334
NE;NORDESTE;2022-07-03;51691.22656250;46977.98046875;90.88189697
N;NORTE;2022-07-03;15302.39648438;14725.53320313;96.23020172
SE;SUDESTE;2022-07-03;204615.32812500;133807.37500000;65.39459991
S;SUL;2022-07-03;19657.33007813;18518.46093750;94.20639801
NE;NORDESTE;2022-07-04;51691.22656250;46902.17187500;90.73529816
N;NORTE;2022-07-04;15302.39648438;14691.99511719;96.01110077
SE;SUDESTE;2022-07-04;204615.32812500;133521.92187500;65.25509644
S;SUL;2022-07-04;19657.33007813;18430.37500000;93.75830078
NE;NORDESTE;2022-07-05;51691.22656250;46845.48437500;90.62560272
N;NORTE;2022-07-05;15302.39648438;14656.41503906;95.77860260
SE;SUDESTE;2022-07-05;204615.32812500;133311.76562500;65.15239716
S;SUL;2022-07-05;19657.33007813;18318.98632813;93.19159698
NE;NORDESTE;2022-07-06;51691.22656250;46750.66796875;90.44219971
N;NORTE;2022-07-06;15302.39648438;14610.73632813;95.48010254
SE;SUDESTE;2022-07-06;204615.32812500;133108.23437500;65.05290222
S;SUL;2022-07-06;19657.33007813;18191.28906250;92.54199982
NE;NORDESTE;2022-07-07;51691.22656250;46629.80468750;90.20839691
N;NORTE;2022-07-07;15302.39648438;14550.72167969;95.08789825
SE;SUDESTE;2022-07-07;204615.32812500;132838.43750000;64.92109680
S;SUL;2022-07-07;19657.33007813;18055.74414063;91.85250092
NE;NORDESTE;2022-07-08;51691.22656250;46526.07421875;90.00769806
N;NORTE;2022-07-08;15302.39648438;14510.31542969;94.82379913
SE;SUDESTE;2022-07-08;204615.32812500;132568.43750000;64.78910065
S;SUL;2022-07-08;19657.33007813;17906.68164063;91.09420013
NE;NORDESTE;2022-07-09;51691.22656250;46452.95312500;89.86620331
N;NORTE;2022-07-09;15302.39648438;14478.42871094;94.61540222
SE;SUDESTE;2022-07-09;204615.32812500;132512.53125000;64.76180267
S;SUL;2022-07-09;19657.33007813;17804.96875000;90.57669830
NE;NORDESTE;2022-07-10;51691.22656250;46386.85156250;89.73829651
N;NORTE;2022-07-10;15302.39648438;14452.47851563;94.44589996
SE;SUDESTE;2022-07-10;204615.32812500;132416.67187500;64.71489716
S;SUL;2022-07-10;19657.33007813;17749.12695313;90.29270172
NE;NORDESTE;2022-07-11;51691.22656250;46221.06250000;89.41760254
N;NORTE;2022-07-11;15302.39648438;14408.01269531;94.15529633
SE;SUDESTE;2022-07-11;204615.32812500;132053.17187500;64.53730011
S;SUL;2022-07-11;19657.33007813;17594.84960938;89.50779724
NE;NORDESTE;2022-07-12;51691.22656250;46057.53125000;89.10130310
N;NORTE;2022-07-12;15302.39648438;14343.68261719;93.73490143
SE;SUDESTE;2022-07-12;204615.32812500;131723.50000000;64.37619781
S;SUL;2022-07-12;19657.33007813;17476.50390625;88.90579987
NE;NORDESTE;2022-07-13;51691.22656250;45852.11328125;88.70390320
N;NORTE;2022-07-13;15302.39648438;14292.87109375;93.40280151
SE;SUDESTE;2022-07-13;204615.32812500;131443.45312500;64.23930359
S;SUL;2022-07-13;19657.33007813;17317.27148438;88.09570313
NE;NORDESTE;2022-07-14;51691.22656250;45662.93359375;88.33789825
N;NORTE;2022-07-14;15302.39648438;14235.74316406;93.02950287
SE;SUDESTE;2022-07-14;204615.32812500;131175.81250000;64.10849762
S;SUL;2022-07-14;19657.33007813;17179.64257813;87.39559937
NE;NORDESTE;2022-07-15;51691.22656250;45484.53906250;87.99279785
N;NORTE;2022-07-15;15302.39648438;14172.44238281;92.61579895
SE;SUDESTE;2022-07-15;204615.32812500;130818.50781250;63.93389893
