date,r
2016-01-05,0.0035051281010303192
2016-01-06,0.0
2016-01-07,-0.024080814746796797
2016-01-08,0.0
2016-01-11,-0.02909253143359325
2016-01-12,-0.03530261533490653
2016-01-13,-0.018518831354981113
2016-01-14,0.054559151004675455
2016-01-15,-0.03910346307451862
2016-01-18,-0.006153335332326648
2016-01-19,-0.009302352597830188
2016-01-20,-0.009389629081291595
2016-01-21,-0.0007868628636280572
2016-01-22,0.022560727658992974
2016-01-26,-0.008497600564179475
2016-01-27,-0.014849692330985098
2016-01-28,0.021807435031511835
2016-01-29,0.06487504148778722
2016-02-01,0.02213647357584536
2016-02-02,-0.07780896704206852
2016-02-03,0.012893489627071153
2016-02-04,0.03916264233086597
2016-02-05,-0.008003340005318771
2016-02-10,0.0
2016-02-11,-0.04711097656295715
2016-02-12,-0.004604505547572524
2016-02-15,0.010711073407690952
2016-02-16,0.01959429769280785
2016-02-17,-0.002989950098265526
2016-02-18,-0.03736554310070983
2016-02-19,0.010818887245110043
2016-02-22,0.04508659645812774
2016-02-23,-0.006634998407813342
2016-02-24,-0.03385034855172564
2016-02-25,0.003818028717183841
2016-02-26,0.006079270018692462
2016-02-29,0.02543085448987137
2016-03-01,0.05600903334429441
2016-03-02,0.030941377370228285
2016-03-03,0.12355733910026823
2016-03-04,0.09416067648935211
2016-03-07,0.0005469016596884035
2016-03-08,0.10344220577663776
2016-03-09,0.002466550499268916
2016-03-10,0.05743163199392387
2016-03-11,0.06089833049736426
2016-03-14,-0.02454827668494719
2016-03-15,-0.2378914640997647
2016-03-16,0.033158502848454674
2016-03-17,0.13429114941909748
2016-03-18,-0.016077994370862214
2016-03-21,0.01656142484605505
2016-03-22,-0.014598684762876735
2016-03-23,-0.03796648442548878
2016-03-24,-0.03365579916804773
2016-03-28,0.05680652176254908
2016-03-29,0.029414446593864163
2016-03-30,-0.020991769818214046
2016-03-31,-0.024976366077994028
2016-04-01,0.0
2016-04-04,-0.05831940128736868
2016-04-05,-0.016216733797428384
2016-04-06,-0.00930758654921271
2016-04-07,0.03033810122970304
2016-04-08,0.10908945153877836
2016-04-11,0.03016215330906813
2016-04-12,0.025665860046483635
2016-04-13,0.010353265235978126
2016-04-14,-0.018075314440396895
2016-04-15,0.03450955501321551
2016-04-18,-0.027692505842865645
2016-04-19,-0.004539666451248037
2016-04-20,-0.006847279419276431
2016-04-22,-0.025987950967525597
2016-04-25,-0.022344449081122653
2016-04-26,0.04466068516859245
2016-04-27,0.0249726360810687
2016-04-28,-0.0249726360810687
2016-04-29,0.01641633514140506
2016-05-02,-0.025654258720517076
2016-05-03,-0.052882087250385235
2016-05-04,0.021297822645777176
2016-05-05,-0.01739159220394071
2016-05-06,0.008250302103301799
2016-05-09,-0.021495697104299216
2016-05-10,0.05756959336058687
2016-05-11,-0.04627562274995367
2016-05-12,-0.02872891404204636
2016-05-13,-0.027510636808173228
2016-05-16,-0.015617248411929685
2016-05-17,-0.0494721897752588
2016-05-18,0.0011018481596343221
2016-05-19,-0.023963286687747942
2016-05-20,-0.023974135592641055
2016-05-23,-0.018070851796878618
2016-05-24,-0.05398086007835112
2016-05-25,0.02898821957277975
2016-05-27,-0.01964477400680198
2016-05-30,0.017209924018598555
2016-05-31,0.003649467797014694
2016-06-01,0.006053393892353709
2016-06-02,0.019719758632927853
2016-06-03,0.023393082997000825
2016-06-06,-0.010459046426931184
2016-06-07,-0.011751533111038936
2016-06-08,0.030843573678801528
2016-06-09,-0.002869189466589317
2016-06-10,-0.05008456725784893
2016-06-13,0.008423911302755327
2016-06-14,-0.027081330290128713
2016-06-15,-0.0006207735466585707
2016-06-16,0.005574323239185386
2016-06-17,-0.011805200192164467
2016-06-20,0.036211120108580186
2016-06-21,-0.04563045522128073
2016-06-22,-0.0031591198918166086
2016-06-23,0.026234914995758585
2016-06-24,-0.020555160018489893
2016-06-27,-0.01585813841773409
2016-06-28,0.024630061666349512
2016-06-29,0.028292243163781317
2016-06-30,0.04099193324209205
2016-07-01,-0.007595897987201949
2016-07-04,0.004680784047783826
2016-07-05,-0.0076176446241877915
2016-07-06,-0.0023559613639994037
2016-07-07,-0.012458920649816907
2016-07-08,0.028253572351983447
2016-07-11,0.04483035142673164
2016-07-12,-0.012846223603872442
2016-07-13,0.014509347115323035
2016-07-14,0.0518195512118893
2016-07-15,0.013065164506096849
2016-07-18,0.03570005652994057
2016-07-19,0.047453296026388925
2016-07-20,0.0198679796024821
2016-07-21,-0.018912519588755394
