date,r
2016-01-05,-0.006389833640591203
2016-01-06,-0.006927355646189515
2016-01-07,-0.003980110248831714
2016-01-08,0.003483544597245647
2016-01-11,-0.015015148870375139
2016-01-12,0.006033096480130951
2016-01-13,0.0025030501376344105
2016-01-14,-0.0005001534577702138
2016-01-15,-0.0010010580021395654
2016-01-19,0.004995188276009976
2016-01-20,-0.014049196547206488
2016-01-21,0.011055234049830442
2016-01-22,0.005978987933885627
2016-01-25,-0.0014912885286966215
2016-01-26,0.0014912885286966215
2016-01-27,-0.0014912885286966215
2016-01-28,-0.0034888633008298697
2016-01-29,-0.0019990038808535004
2016-02-01,0.0044922905342672514
2016-02-02,-0.001495115222660548
2016-02-03,0.003981980398773288
2016-02-04,-0.004980151829526491
2016-02-05,-0.005506654386578269
2016-02-08,-0.007053102114129128
2016-02-09,-0.0035452940444766767
2016-02-10,0.0005072568392181509
2016-02-11,-0.004574375335735681
2016-02-12,0.003559829485910715
2016-02-16,0.008088920674145239
2016-02-17,0.0025143791009853977
2016-02-18,-0.0025143791009853977
2016-02-19,-0.004036337619061747
2016-02-22,0.008056448690630713
2016-02-23,0.002504303929223184
2016-02-24,0.0024983802245697184
2016-02-25,-0.0014982124480753534
2016-02-26,-0.0020012257786339305
2016-02-29,0.0
2016-03-01,-0.0025065925035852032
2016-03-02,0.003007246769290539
2016-03-03,0.007479559446814221
2016-03-04,0.011361048399217033
2016-03-07,-0.0004913076419876816
2016-03-08,0.002944014181137433
2016-03-09,0.0009793789534411346
2016-03-10,0.009257270334365408
2016-03-11,0.009652382301446938
2016-03-14,0.005747255854402056
2016-03-15,-0.0009556204435732241
2016-03-16,0.004768679526611752
2016-03-17,0.006165469469690876
2016-03-18,-0.002840967561767993
2016-03-21,-0.0018983317004872546
2016-03-22,0.005212132495507227
2016-03-23,-0.008543067699354978
2016-03-24,-0.009097379768985725
2016-03-28,0.004319586618207527
2016-03-29,0.0023916969785306996
2016-03-30,-0.011532953134943735
2016-03-31,-0.0043593406822570735
2016-04-01,-0.005354201124312397
2016-04-04,-0.010794960863647507
2016-04-05,-0.0054414964641780195
2016-04-06,0.0009915179445862954
2016-04-07,-0.005964350568894439
2016-04-08,0.011400468996640267
2016-04-11,-0.007420358747808553
2016-04-12,0.005446886349267821
2016-04-13,0.003942948729296347
2016-04-14,-0.0004920328605155788
2016-04-15,0.010768541811234211
2016-04-18,0.005825374434975217
2016-04-19,0.012506137822605012
2016-04-20,0.011879487183947823
2016-04-21,-0.009015572653748194
2016-04-22,-0.02070866269496463
2016-04-25,0.013053112753936169
2016-04-26,0.011461458700666949
2016-04-27,-0.007147976183850435
2016-04-28,-0.0019146885229925914
2016-04-29,0.010011830293328305
2016-05-02,0.0009484758473856658
2016-05-03,-0.01048134334428763
2016-05-04,0.004301008012787655
2016-05-05,-0.00958311318498728
2016-05-06,0.005282105172199625
2016-05-09,-0.000478962796426341
2016-05-10,0.01521666925394305
2016-05-11,0.004238323243393793
2016-05-12,0.004220124149270088
2016-05-13,-0.004690290350416237
2016-05-16,0.006093326500451912
2016-05-17,0.0032656680823857087
2016-05-18,-0.0046687042324213834
2016-05-19,-0.01508742549555464
2016-05-20,0.003319876898822738
2016-05-23,-0.011907568049875028
2016-05-24,-0.0019185746371896961
2016-05-25,0.011455987407043455
2016-05-26,0.010856832786077408
2016-05-27,0.005151010666895939
2016-05-31,-0.004681610629521771
2016-06-01,0.0070141707615527515
2016-06-02,0.012503150993731893
2016-06-03,0.015525295248642212
2016-06-06,0.011711812580675662
2016-06-07,0.005359753845146198
2016-06-08,0.02246286445249268
2016-06-09,-0.006554519733046771
2016-06-10,-0.0008770481684203801
2016-06-13,-0.004838443558920602
2016-06-14,0.0008814956227576332
2016-06-15,-0.0017637689656555544
2016-06-16,-0.004866269898881281
2016-06-17,0.009708778950513253
2016-06-20,-0.011484093898397774
2016-06-21,-0.014768717439082923
2016-06-22,-0.00678580512329674
2016-06-23,0.003172627641057524
2016-06-24,-0.021496675754395955
2016-06-27,0.006911065893537849
2016-06-28,0.01005039901768523
2016-06-29,0.008599268950505223
2016-06-30,-0.005422724414273272
2016-07-01,-0.004086100495708234
2016-07-05,-0.006389653791031069
2016-07-06,-0.01151304775872708
2016-07-07,-0.019172954915684493
2016-07-08,0.01173451047466001
2016-07-11,0.004190853781241621
2016-07-12,0.0009290921985054545
2016-07-13,0.006478461319328055
2016-07-14,0.004601895633498554
2016-07-15,-0.020408897888350985
2016-07-18,0.007934733467307442
2016-07-19,-0.021142489915428442
2016-07-20,-0.011941908778733357
2016-07-21,-0.0038516121663549896
2016-07-22,0.0
2016-07-25,0.003370931145050271
2016-07-26,-0.003853467580854364
2016-07-27,-0.0038685892635257346
2016-07-28,-0.008759138159897262
2016-07-29,0.00633379601676376
2016-08-01,-0.0024313467598666705
2016-08-02,-0.0034137823455511196
2016-08-03,0.004386965784172858
2016-08-04,0.004367911798002666
2016-08-05,0.012990417020955825
2016-08-08,0.0004778183579521311
2016-08-09,-0.004309352028433633
2016-08-10,-0.0062573626688853246
2016-08-11,-0.004355121372908943
2016-08-12,0.003872118856181661
2016-08-15,0.00865802023551554
2016-08-16,0.0
2016-08-17,-0.0038388878896213896
2016-08-18,0.006708386953773182
2016-08-19,-0.003827866914062117
2016-08-22,0.005259375862697979
2016-08-23,0.0009533430602419735
2016-08-24,-0.011981866401013175
2016-08-25,-0.0038647438740428974
2016-08-26,-0.0063122675017650565
2016-08-29,-0.007333185364234662
2016-08-30,-0.0019646396364580987
2016-08-31,-0.005422718841405771
2016-09-01,0.0
2016-09-02,0.0034542117967366615
2016-09-06,-0.0009857632709415753
2016-09-07,0.010789559153333794
2016-09-08,-0.0009759248831668899
2016-09-09,-0.006859363954556219
2016-09-12,0.0009828567858307657
2016-09-13,-0.013350111802835851
2016-09-14,-0.00199291699515447
2016-09-15,0.0034850577640974656
2016-09-16,0.010383323364826058
2016-09-19,0.005396226014281691
2016-09-20,0.008767777481741401
2016-09-21,0.0009691943576957129
2016-09-22,-0.003883505464378434
2016-09-23,-0.004386965784172858
2016-09-26,-0.0029353723969509637
2016-09-27,-0.002944014181137433
2016-09-28,-0.0004915491438430841
2016-09-29,-0.009385196646327199
2016-09-30,-0.00847255441387329
2016-10-03,0.0010005571942044433
2016-10-04,0.006479002252609778
2016-10-05,0.001985224892702586
2016-10-06,-0.0064660003785128595
2016-10-07,0.000498795087036985
2016-10-10,-0.0024970218538364897
2016-10-11,0.0009994462460864995
2016-10-12,-0.004003903633079897
2016-10-13,0.006996594463490435
2016-10-14,0.004967671147761532
2016-10-17,0.00494311532612679
2016-10-18,-0.0004931368065350661
2016-10-19,-0.0004933801104316515
2016-10-20,-0.0024712172821059752
2016-10-21,0.003457734199072693
2016-10-24,0.008347850309760485
2016-10-25,0.006336882239625918
2016-10-26,0.0019417503790113422
2016-10-27,0.003872118856181661
2016-10-28,-0.0033874580385244712
2016-10-31,-0.005346286810250067
2016-11-01,-0.008810586620194183
2016-11-02,0.005882268810585511
2016-11-03,-0.0019569504424574724
