date,price,log_price,r
2018-12-11,18.01,2.8909271591878647,-0.04292971064803908
2018-12-12,18.68,2.9274534328006965,0.03652627361283178
2018-12-13,18.76,2.9317269435780786,0.004273510777382139
2018-12-14,18.32,2.9079933592459843,-0.02373358433209427
2018-12-17,17.0,2.833213344056216,-0.07478001518976818
2018-12-18,17.0,2.833213344056216,0.0
2018-12-19,16.18,2.7837759116303458,-0.0494374324258704
2018-12-20,15.5,2.740840023925201,-0.04293588770514489
2018-12-21,14.47,2.6720775406433925,-0.06876248328180834
2018-12-24,14.03,2.6411978941143697,-0.030879646529022864
2018-12-26,13.52,2.604170070614818,-0.037027823499551804
2018-12-27,14.65,2.6844403354630764,0.0802702648482585
2018-12-28,14.15,2.649714624089247,-0.034725711373829515
2018-12-31,15.27,2.725890119230541,0.07617549514129429
2019-01-02,15.33,2.7298116928837226,0.003921573653181465
2019-01-03,15.5,2.740840023925201,0.011028331041478268
2019-01-04,16.96,2.830857630363757,0.09001760643855627
2019-01-07,16.27,2.7893229212309465,-0.041534709132810654
2019-01-08,16.95,2.830267833826459,0.040944912595512584
2019-01-09,16.33,2.7930039069823738,-0.037263926844085304
2019-01-10,16.48,2.8021475244813256,0.009143617498951873
2019-01-11,17.0,2.833213344056216,0.03106581957489052
2019-01-14,16.74,2.817801065061329,-0.015412278994887174
2019-01-15,16.59,2.808800104202353,-0.009000960858975837
2019-01-16,16.26,2.7887081041196646,-0.02009200008268852
2019-01-17,16.31,2.7917784166329223,0.0030703125132576226
2019-01-18,16.69,2.8148097376737438,0.023031321040821506
2019-01-22,15.56,2.7447035187502458,-0.070106218923498
2019-01-23,14.79,2.6939512767227085,-0.05075224202753725
2019-01-24,14.64,2.6837575085331657,-0.010193768189542762
2019-01-25,14.91,2.702032128776647,0.018274620243481365
2019-01-28,14.45,2.670694414558441,-0.03133771421820608
2019-01-29,14.63,2.683074215032033,0.012379800473591995
2019-01-30,15.13,2.7166795278002644,0.03360531276823142
2019-01-31,16.6,2.8094026953624978,0.09272316756223331
2019-02-01,16.22,2.7862450486872667,-0.023157646675231014
2019-02-04,16.27,2.7893229212309465,0.0030778725436797494
2019-02-05,17.18,2.8437459165561094,0.054422995325162926
2019-02-06,18.14,2.8981194446869907,0.054373528130881255
2019-02-07,17.05,2.8361502037295256,-0.06196924095746503
2019-02-08,17.99,2.8898160479624417,0.05366584423291609
2019-02-11,18.17,2.89977188240808,0.009955834445638079
2019-02-12,18.69,2.9279886214674717,0.028216739059391927
2019-02-13,18.53,2.9193910402972683,-0.008597581170203483
2019-02-14,19.66,2.9785861147190205,0.0591950744217522
2019-02-15,21.44,3.0652583362026014,0.08667222148358089
2019-02-19,20.83,3.0363942552728806,-0.028864080929720703
2019-02-20,19.92,2.991724252156452,-0.044670003116428436
2019-02-21,19.34,2.9621754900251482,-0.029548762131303974
2019-02-22,19.88,2.989714201228428,0.027538711203279664
2019-02-25,21.65,3.075005454448499,0.08529125322007092
2019-02-26,23.7,3.1654750481410856,0.09046959369258678
2019-02-27,22.1,3.095577608523707,-0.0698974396173786
2019-02-28,22.6,3.1179499062782403,0.02237229775453331
2019-03-01,22.27,3.1032404812692764,-0.014709425008963883
2019-03-04,21.12,3.050220458838061,-0.05302002243121562
2019-03-05,21.37,3.0619880693310564,0.011767610492995573
2019-03-06,20.65,3.027715319407042,-0.03427274992401452
2019-03-07,20.59,3.0248055210396982,-0.002909798367343619
2019-03-08,20.93,3.0411835364579085,0.016378015418210268
2019-03-11,20.43,3.0170044088295307,-0.024179127628377817
2019-03-12,19.26,2.9580304063699794,-0.05897400245955131
2019-03-13,19.97,2.994231147427724,0.03620074105774451
2019-03-14,20.82,3.035914063186823,0.04168291575909899
2019-03-15,21.82,3.0828269804049246,0.04691291721810176
2019-03-18,22.18,3.099190981922221,0.016364001517296334
2019-03-19,20.35,3.013080911888604,-0.08611007003361681
2019-03-20,20.0,2.995732273553991,-0.01734863833461331
2019-03-21,19.34,2.9621754900251482,-0.033556783528842615
2019-03-22,19.0,2.9444389791664403,-0.017736510858707977
2019-03-25,19.4,2.9652730660692823,0.020834086902842053
2019-03-26,19.9,2.990719731730447,0.02544666566116449
2019-03-27,19.27,2.958549482426275,-0.03217024930417178
2019-03-28,19.66,2.9785861147190205,0.020036632292745438
2019-03-29,20.35,3.013080911888604,0.0344947971695837
2019-04-01,20.59,3.0248055210396982,0.011724609151094079
2019-04-02,19.7,2.9806186357439426,-0.04418688529575565
2019-04-03,21.33,3.0601145324832593,0.07949589673931667
2019-04-04,23.08,3.138966441639899,0.07885190915663953
2019-04-05,25.96,3.2565568918358894,0.11759045019599057
2019-04-08,27.23,3.3043193066856684,0.047762414849779056
2019-04-09,26.82,3.2891478778535324,-0.015171428832136069
2019-04-10,26.8,3.288401887516811,-0.0007459903367212917
2019-04-11,25.73,3.2476576262936527,-0.04074426122315833
2019-04-12,24.61,3.2031528644029645,-0.044504761890688194
2019-04-15,25.84,3.2519236789144013,0.04877081451143672
