date,price,log_price,r
2023-05-06,2.63e-06,-12.848526711774602,-0.3494243874660512
2023-05-07,2.79e-06,-12.789468962131,0.059057749643601554
2023-05-08,1.94e-06,-13.152822584889037,-0.3633536227580372
2023-05-09,2.01e-06,-13.11737583589329,0.03544674899574751
2023-05-10,1.93e-06,-13.15799055504748,-0.040614719154190126
2023-05-11,1.4e-06,-13.479038321343062,-0.32104776629558174
2023-05-12,1.75e-06,-13.255894770028851,0.2231435513142106
2023-05-13,1.87e-06,-13.18957212709778,0.06632264293107148
2023-05-14,1.78e-06,-13.23889719366028,-0.04932506656250091
2023-05-15,1.73e-06,-13.267389149454587,-0.028491955794306634
2023-05-16,1.67e-06,-13.30268693153561,-0.035297782081023854
2023-05-17,1.57e-06,-13.364434938604058,-0.06174800706844685
2023-05-18,1.59e-06,-13.351776541732134,0.012658396871923827
2023-05-19,1.53e-06,-13.39024282255993,-0.03846628082779624
2023-05-20,1.72e-06,-13.273186267138913,0.11705655542101745
2023-05-21,1.59e-06,-13.351776541732134,-0.07859027459322121
2023-05-22,1.52e-06,-13.396800223106089,-0.04502368137395507
2023-05-23,1.59e-06,-13.351776541732134,0.04502368137395507
2023-05-24,1.43e-06,-13.457836113692458,-0.10605957196032456
2023-05-25,1.43e-06,-13.457836113692458,0.0
2023-05-26,1.46e-06,-13.437074122244029,0.020761991448429384
2023-05-27,1.52e-06,-13.396800223106089,0.040273899137940106
2023-05-28,1.49e-06,-13.416734438006907,-0.019934214900818148
2023-05-29,1.44e-06,-13.450867444376366,-0.034133006369458485
2023-05-30,1.3e-06,-13.553146293496782,-0.10227884912041674
2023-05-31,1.26e-06,-13.584398837000888,-0.031252543504106
2023-06-01,1.25e-06,-13.592367006650065,-0.00796816964917646
2023-06-02,1.29e-06,-13.560868339590693,0.03149866705937221
2023-06-03,1.3e-06,-13.553146293496782,0.007722046093910251
2023-06-04,1.23e-06,-13.608496388579947,-0.05535009508316513
2023-06-05,1.03e-06,-13.78595175572273,-0.1774553671427821
2023-06-06,1.2e-06,-13.633189001170319,0.15276275455241084
2023-06-07,1.07e-06,-13.747851909490459,-0.11466290832014003
2023-06-08,1.08e-06,-13.738549516828146,0.009302392662313252
2023-06-09,1.14e-06,-13.68448229555787,0.05406722127027486
2023-06-10,9.4e-07,-13.87738596168236,-0.19290366612449006
2023-06-11,9.2e-07,-13.898892166903325,-0.021506205220964247
2023-06-12,9.1e-07,-13.909821237435516,-0.010929070532190721
2023-06-13,9.1e-07,-13.909821237435516,0.0
2023-06-14,8.8e-07,-13.943343929474159,-0.03352269203864289
2023-06-15,8.9e-07,-13.932044374220226,0.01129955525393278
2023-06-16,9.6e-07,-13.85633255248453,0.07571182173569646
