ticket_id,ticker,side,filled_notional_brl,filled_quantity,avg_price_brl,fee_brl,status,executed_at,as_of_date,scenario_id,alias,capital_brl,market_state
2b69379c-3078-497b-bfcd-fe32a35b9ba8,BTC-USD,buy,1876.5274326681915,0.008349973035602186,224734.55000000002,4.691318581670479,filled,2024-01-02T00:00:00+00:00,2024-01-02,zeus_10000,Zeus,10000.0,balanced
85645d4f-174e-4e28-9550-b0b81906ce53,ETH-USD,buy,670.1883688100684,0.056907993649330316,11776.7,1.675470922025171,filled,2024-01-02T00:00:00+00:00,2024-01-02,zeus_10000,Zeus,10000.0,balanced
7b7268c3-b13d-4ec9-bdb3-a85aaa07de98,ITUB4.SA,buy,1340.3767376201367,54.494390997948365,24.5966,2.0105651064302053,filled,2024-01-02T00:00:00+00:00,2024-01-02,zeus_10000,Zeus,10000.0,balanced
50401c70-63c4-4f9a-8129-f5255ef29903,PETR4.SA,buy,2010.565106430205,70.21306316806606,28.6352,3.0158476596453077,filled,2024-01-02T00:00:00+00:00,2024-01-02,zeus_10000,Zeus,10000.0,balanced
eaec4321-d002-4bcf-a7c3-4f6adbdeba0e,BTC-USD,sell,1843.3024724608783,0.008349973035602186,220755.5,4.608256181152196,filled,2024-01-04T00:00:00+00:00,2024-01-04,zeus_10000,Zeus,10000.0,defense
8120c8ea-9e7f-4e3a-940d-11f5d26d4c88,ETH-USD,sell,645.0834074116664,0.05690799364933032,11335.550000000001,1.6127085185291659,filled,2024-01-04T00:00:00+00:00,2024-01-04,zeus_10000,Zeus,10000.0,defense
ea2166b8-9e13-49b7-8ef9-e836e1d4ce25,ITUB4.SA,sell,1308.6991481330294,54.494390997948365,24.0153,1.9630487221995443,filled,2024-01-04T00:00:00+00:00,2024-01-04,zeus_10000,Zeus,10000.0,defense
36357dd8-4a07-4932-9469-d1f04b6ac755,PETR4.SA,sell,2103.4218824699724,70.21306316806606,29.9577,3.1551328237049585,filled,2024-01-04T00:00:00+00:00,2024-01-04,zeus_10000,Zeus,10000.0,defense
e025b831-0016-4eb5-a5c4-14dec7a987c9,BTC-USD,buy,1873.7438009686139,0.008687217640006602,215689.75,4.684359502421535,filled,2024-01-16T00:00:00+00:00,2024-01-16,zeus_10000,Zeus,10000.0,balanced
3210e9e2-1052-44ef-abde-64a7319d328a,ETH-USD,buy,669.1942146316478,0.05172715580363669,12937.0,1.6729855365791195,filled,2024-01-16T00:00:00+00:00,2024-01-16,zeus_10000,Zeus,10000.0,balanced
d33fad35-fe39-434d-9432-10a24f07c14f,ITUB4.SA,buy,1338.3884292632956,55.2309050313749,24.2326,2.0075826438949433,filled,2024-01-16T00:00:00+00:00,2024-01-16,zeus_10000,Zeus,10000.0,balanced
295ea62a-71a3-4a60-a47c-b9a00e82e41f,PETR4.SA,buy,2007.582643894943,67.67398641165471,29.6655,3.0113739658424143,filled,2024-01-16T00:00:00+00:00,2024-01-16,zeus_10000,Zeus,10000.0,balanced
4637171a-872a-4b57-a973-7e8fe9658e34,BTC-USD,buy,111.36490885570015,0.0005629036219436816,197840.09999999998,0.2784122721392504,filled,2024-01-22T00:00:00+00:00,2024-01-22,zeus_10000,Zeus,10000.0,balanced
e03125c7-7150-488a-97f1-c212bceb597f,BTC-USD,sell,131.4902585181121,0.0006073074358786501,216513.5,0.3287256462952803,filled,2024-01-29T00:00:00+00:00,2024-01-29,zeus_10000,Zeus,10000.0,balanced
bb50c992-41cb-4335-af13-72b1a8fc970e,PETR4.SA,sell,103.85548191300904,3.3291601699275555,31.1957,0.15578322286951357,filled,2024-01-30T00:00:00+00:00,2024-01-30,zeus_10000,Zeus,10000.0,balanced
a2e9da47-06d9-437c-8d0d-71faba99860c,ITUB4.SA,sell,239.6101373047975,10.09688287963042,23.7311,0.3594152059571962,filled,2024-02-05T00:00:00+00:00,2024-02-05,zeus_10000,Zeus,10000.0,risk_on
c9b6b450-617d-42c4-8e65-4875fdf0f011,PETR4.SA,sell,423.4206714028512,13.420878729955284,31.5494,0.6351310071042768,filled,2024-02-05T00:00:00+00:00,2024-02-05,zeus_10000,Zeus,10000.0,risk_on
25ec4884-0f90-487f-b747-8ba107ce8f0e,BTC-USD,buy,832.083268445431,0.003896551608667232,213543.5,2.080208171113578,filled,2024-02-05T00:00:00+00:00,2024-02-05,zeus_10000,Zeus,10000.0,risk_on
f2a65f69-4605-4255-b835-5f7cbb583d94,ETH-USD,buy,475.7443978678384,0.041336188846946856,11509.15,1.189360994669596,filled,2024-02-05T00:00:00+00:00,2024-02-05,zeus_10000,Zeus,10000.0,risk_on
13d6442a-4805-4839-a130-c03b74ff4fbc,BTC-USD,sell,191.732442198017,0.0008135844432568552,235663.84999999998,0.4793311054950425,filled,2024-02-09T00:00:00+00:00,2024-02-09,zeus_10000,Zeus,10000.0,risk_on
c1518a42-6ddd-4a9e-977a-6ac22eff91af,BTC-USD,sell,116.13057293919928,0.00046529216417163556,249586.34999999998,0.2903264323479982,filled,2024-02-12T00:00:00+00:00,2024-02-12,zeus_10000,Zeus,10000.0,risk_on
761212c8-5872-4312-a43c-433cc4144d17,ETH-USD,sell,113.55210843585792,0.008537784610908908,13299.949999999999,0.2838802710896448,filled,2024-02-12T00:00:00+00:00,2024-02-12,zeus_10000,Zeus,10000.0,risk_on
0c9b884f-49ca-4968-bc7b-9d50a2facfea,PETR4.SA,buy,101.20392610684985,3.210916887652405,31.5187,0.15180588916027477,filled,2024-02-15T00:00:00+00:00,2024-02-15,zeus_10000,Zeus,10000.0,risk_on
e0679deb-6b45-491a-9f69-7fa2f81dc0b9,BTC-USD,sell,2942.29929369212,0.011260488827310376,261294.1,7.3557482342303,filled,2024-02-20T00:00:00+00:00,2024-02-20,zeus_10000,Zeus,10000.0,defense
359926ae-4472-4812-b22f-37da25980e3b,ETH-USD,sell,1274.1425183160575,0.08452556003967464,15074.05,3.1853562957901436,filled,2024-02-20T00:00:00+00:00,2024-02-20,zeus_10000,Zeus,10000.0,defense
d163e4e0-7522-4440-9866-545a4de2c885,ITUB4.SA,sell,1142.3962614872348,45.13402215174448,25.3112,1.7135943922308523,filled,2024-02-20T00:00:00+00:00,2024-02-20,zeus_10000,Zeus,10000.0,defense
3df7238c-3711-438a-a5bc-cac94366adbf,PETR4.SA,sell,1785.763012403128,54.134864399424266,32.9873,2.678644518604692,filled,2024-02-20T00:00:00+00:00,2024-02-20,zeus_10000,Zeus,10000.0,defense
6fe78eaa-bbd4-4af6-89cd-b8a939b741cf,BTC-USD,buy,2016.9001210261658,0.007949291183421798,253720.75,5.042250302565415,filled,2024-02-23T00:00:00+00:00,2024-02-23,zeus_10000,Zeus,10000.0,balanced
6aa8d919-9ed3-4baf-a4a2-ef0b51f5c561,ETH-USD,buy,720.3214717950592,0.049299268492325014,14611.199999999999,1.800803679487648,filled,2024-02-23T00:00:00+00:00,2024-02-23,zeus_10000,Zeus,10000.0,balanced
36c76fa2-bc8e-46af-9f89-c4d0818d380a,ITUB4.SA,buy,1440.6429435901184,56.338495791754724,25.5712,2.1609644153851777,filled,2024-02-23T00:00:00+00:00,2024-02-23,zeus_10000,Zeus,10000.0,balanced
c9ac454c-005b-4a84-993d-cbfb01376165,PETR4.SA,buy,2160.9644153851773,66.6113181115851,32.4414,3.241446623077766,filled,2024-02-23T00:00:00+00:00,2024-02-23,zeus_10000,Zeus,10000.0,balanced
cc3d3426-b3e0-40b3-a7d5-553174172805,BTC-USD,sell,122.02613131563976,0.00044799573583104694,272382.35,0.3050653282890994,filled,2024-02-26T00:00:00+00:00,2024-02-26,zeus_10000,Zeus,10000.0,balanced
2c379cd1-d500-4515-90ea-56824b61d058,BTC-USD,sell,241.20209606324534,0.0007726861536396992,312160.5,0.6030052401581133,filled,2024-02-28T00:00:00+00:00,2024-02-28,zeus_10000,Zeus,10000.0,balanced
aed1948e-c715-4037-84e6-3b500111dc87,PETR4.SA,buy,154.5929185318755,4.972736144437116,31.0881,0.23188937779781327,filled,2024-02-29T00:00:00+00:00,2024-02-29,zeus_10000,Zeus,10000.0,balanced
c808e2f1-d82a-4f87-bbeb-756b4e3794a0,ETH-USD,sell,103.88213989133124,0.006051216415731863,17167.149999999998,0.2597053497283281,filled,2024-03-01T00:00:00+00:00,2024-03-01,zeus_10000,Zeus,10000.0,balanced
ca6fe5fc-bb11-48ac-a59a-7715b7cd775b,BTC-USD,sell,182.52897852882097,0.0005349170769234314,341228.55000000005,0.45632244632205243,filled,2024-03-04T00:00:00+00:00,2024-03-04,zeus_10000,Zeus,10000.0,balanced
d48739a1-cf18-4e5c-841c-2eab5c8888bd,BTC-USD,buy,115.81206483378105,0.0003634801539758124,318620.05,0.28953016208445265,filled,2024-03-05T00:00:00+00:00,2024-03-05,zeus_10000,Zeus,10000.0,balanced
c4104af0-da01-4cca-af35-1edbc514aa74,BTC-USD,sell,111.85491150468397,0.000328385296044427,340620.95,0.2796372787617099,filled,2024-03-08T00:00:00+00:00,2024-03-08,zeus_10000,Zeus,10000.0,balanced
62648e30-fcda-412b-80d3-bc732200e55d,BTC-USD,sell,2244.7956883380134,0.0062287870749590055,360390.5,5.611989220845033,filled,2024-03-11T00:00:00+00:00,2024-03-11,zeus_10000,Zeus,10000.0,defense
fc10a909-15a6-42c0-86a7-0eb10a7aea93,ETH-USD,sell,878.9734104046792,0.04324805207659315,20324.0,2.197433526011698,filled,2024-03-11T00:00:00+00:00,2024-03-11,zeus_10000,Zeus,10000.0,defense
