date,as_of_date,scenario_id,alias,capital_brl,market_state,driver_regime,driver_confidence_score,driver_gross_exposure,recommended_mode,order_count,fill_count,selected_assets,target_weights_json,notes
2023-01-02,2023-01-02,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,2,2,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-03,2023-01-03,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-04,2023-01-04,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-05,2023-01-05,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-06,2023-01-06,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-09,2023-01-09,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-10,2023-01-10,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-11,2023-01-11,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-12,2023-01-12,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-13,2023-01-13,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-16,2023-01-16,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-17,2023-01-17,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-18,2023-01-18,hermes_1000,Hermes,1000.0,balanced,stable,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Sem gatilho forte; fica em balanced. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-19,2023-01-19,hermes_1000,Hermes,1000.0,balanced,transition,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-20,2023-01-20,hermes_1000,Hermes,1000.0,balanced,transition,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
2023-01-23,2023-01-23,hermes_1000,Hermes,1000.0,balanced,transition,0.625,0.25,equilibrio,0,0,"BTC-USD,ETH-USD","{""BTC-USD"": 0.24, ""CASH-BRL"": 0.54, ""ETH-USD"": 0.14, ""SOL-USD"": 0.08}","Transition pede postura intermediária. | Tickers sem preço válido caíram para caixa: QQQ,SPY"
